Week,dry cough: (Alaska),fever: (Alaska),COVID-19 symptoms: (Alaska),loss of smell: (Alaska),coronavirus testing center: (Alaska)
11/17/2019,6,31,0,0,0
11/24/2019,0,41,0,0,0
12/1/2019,6,50,0,0,0
12/8/2019,6,47,0,0,0
12/15/2019,7,52,0,0,0
12/22/2019,0,43,0,0,0
12/29/2019,10,40,0,0,0
1/5/2020,0,38,0,6,0
1/12/2020,6,37,0,0,0
1/19/2020,6,36,0,0,0
1/26/2020,6,44,0,0,0
2/2/2020,6,27,0,0,0
2/9/2020,6,27,0,0,0
2/16/2020,6,42,0,0,0
2/23/2020,6,50,0,0,0
3/1/2020,6,49,6,0,0
3/8/2020,9,62,12,0,0
3/15/2020,15,100,23,0,0
3/22/2020,9,59,10,7,0
3/29/2020,5,74,10,0,0
4/5/2020,5,32,10,0,0
4/12/2020,0,32,5,0,0
4/19/2020,5,32,5,0,0
4/26/2020,5,25,5,0,0
5/3/2020,8,36,0,0,0
5/10/2020,5,33,0,5,0
5/17/2020,0,24,0,0,0
5/24/2020,0,27,0,0,0
5/31/2020,6,21,6,0,0
6/7/2020,0,31,18,0,0
6/14/2020,6,15,17,0,0
6/21/2020,6,22,8,0,0
6/28/2020,6,26,0,6,0
7/5/2020,6,30,12,6,0
7/12/2020,0,24,12,0,0
7/19/2020,0,26,18,6,0
7/26/2020,0,28,9,6,0
8/2/2020,0,18,16,0,0
8/9/2020,0,32,6,6,0
8/16/2020,0,30,0,0,0
8/23/2020,6,24,0,0,0
8/30/2020,0,34,0,0,0
9/6/2020,0,16,0,0,0
9/13/2020,0,29,6,0,0
9/20/2020,6,23,6,6,0
9/27/2020,0,24,6,6,0
10/4/2020,6,30,0,6,0
10/11/2020,7,19,7,0,0
10/18/2020,0,35,7,7,0
10/25/2020,7,23,7,7,0
11/1/2020,6,36,6,6,0
11/8/2020,0,23,0,0,0
