Week,dry cough: (Arizona),fever: (Arizona),COVID-19 symptoms: (Arizona),loss of smell: (Arizona),coronavirus testing center: (Arizona)
11/17/2019,3,41,0,0,0
11/24/2019,2,42,0,0,0
12/1/2019,2,44,0,0,0
12/8/2019,1,42,0,1,0
12/15/2019,2,45,0,0,0
12/22/2019,2,47,0,0,0
12/29/2019,4,52,0,1,0
1/5/2020,2,51,0,0,0
1/12/2020,2,54,0,<1,0
1/19/2020,3,57,0,0,0
1/26/2020,3,55,0,<1,0
2/2/2020,2,47,0,0,<1
2/9/2020,3,56,<1,0,0
2/16/2020,3,52,<1,<1,0
2/23/2020,1,51,<1,0,0
3/1/2020,4,57,1,<1,0
3/8/2020,8,69,4,<1,1
3/15/2020,17,100,9,0,1
3/22/2020,12,84,7,4,0
3/29/2020,7,79,7,1,1
4/5/2020,8,61,4,1,<1
4/12/2020,3,46,3,1,<1
4/19/2020,2,48,2,1,<1
4/26/2020,3,38,2,1,0
5/3/2020,1,34,1,1,<1
5/10/2020,2,39,3,<1,<1
5/17/2020,2,38,3,1,1
5/24/2020,2,37,3,2,<1
5/31/2020,1,35,1,2,0
6/7/2020,2,38,7,2,0
6/14/2020,3,49,14,3,<1
6/21/2020,3,59,21,4,1
6/28/2020,2,58,11,4,1
7/5/2020,2,60,9,3,1
7/12/2020,2,50,8,3,0
7/19/2020,2,45,7,2,<1
7/26/2020,2,38,5,2,1
8/2/2020,2,34,5,1,0
8/9/2020,2,39,2,1,0
8/16/2020,1,34,3,0,0
8/23/2020,1,30,2,<1,0
8/30/2020,2,31,2,<1,0
9/6/2020,1,31,1,<1,0
9/13/2020,1,29,2,1,0
9/20/2020,2,39,2,0,0
9/27/2020,1,39,3,1,0
10/4/2020,2,38,2,0,0
10/11/2020,1,41,2,2,0
10/18/2020,1,38,3,1,0
10/25/2020,1,36,2,1,0
11/1/2020,1,37,1,1,0
11/8/2020,4,34,4,2,0
