Week,dry cough: (Arkansas),fever: (Arkansas),COVID-19 symptoms: (Arkansas),loss of smell: (Arkansas),coronavirus testing center: (Arkansas)
11/17/2019,3,36,0,0,0
11/24/2019,2,43,0,0,0
12/1/2019,1,36,0,0,0
12/8/2019,2,34,0,0,0
12/15/2019,3,38,0,0,0
12/22/2019,2,51,0,0,0
12/29/2019,2,42,0,2,0
1/5/2020,2,32,0,0,0
1/12/2020,3,37,0,1,0
1/19/2020,2,47,0,0,0
1/26/2020,3,57,0,0,0
2/2/2020,3,55,0,1,0
2/9/2020,2,56,0,0,0
2/16/2020,3,57,0,0,0
2/23/2020,4,60,0,0,0
3/1/2020,2,56,1,0,0
3/8/2020,5,61,6,1,0
3/15/2020,9,100,7,0,1
3/22/2020,11,94,7,2,1
3/29/2020,7,68,8,0,2
4/5/2020,7,58,7,0,1
4/12/2020,4,50,4,1,0
4/19/2020,4,47,2,1,1
4/26/2020,5,44,3,1,0
5/3/2020,2,30,2,1,0
5/10/2020,1,29,3,1,0
5/17/2020,1,35,3,1,0
5/24/2020,3,33,3,0,1
5/31/2020,3,39,2,0,0
6/7/2020,2,41,3,1,0
6/14/2020,1,42,9,1,0
6/21/2020,1,37,16,1,0
6/28/2020,1,43,8,1,0
7/5/2020,2,47,7,0,0
7/12/2020,0,49,7,3,0
7/19/2020,5,42,13,3,0
7/26/2020,3,37,11,4,1
8/2/2020,3,45,8,2,1
8/9/2020,3,35,2,3,1
8/16/2020,2,44,6,1,0
8/23/2020,1,31,6,2,0
8/30/2020,3,43,4,2,0
9/6/2020,0,32,6,1,0
9/13/2020,3,42,3,1,0
9/20/2020,3,35,2,2,0
9/27/2020,3,32,3,3,0
10/4/2020,1,37,4,4,0
10/11/2020,2,45,4,4,0
10/18/2020,2,34,4,3,0
10/25/2020,2,41,5,3,0
11/1/2020,1,34,3,1,0
11/8/2020,3,43,3,3,0
