Week,dry cough: (Australia),fever: (Australia),COVID-19 symptoms: (Australia),loss of smell: (Australia),coronavirus testing center: (Australia)
11/17/2019,3,40,0,<1,0
11/24/2019,3,33,0,<1,0
12/1/2019,3,40,0,<1,0
12/8/2019,3,37,0,<1,0
12/15/2019,2,35,0,<1,0
12/22/2019,3,35,0,<1,0
12/29/2019,3,33,0,<1,0
1/5/2020,2,30,0,<1,0
1/12/2020,2,29,0,<1,0
1/19/2020,3,32,0,<1,0
1/26/2020,3,34,0,<1,0
2/2/2020,3,36,0,<1,0
2/9/2020,2,36,<1,<1,0
2/16/2020,3,36,<1,<1,0
2/23/2020,4,36,<1,<1,0
3/1/2020,4,49,1,<1,0
3/8/2020,8,70,6,<1,<1
3/15/2020,12,100,8,<1,1
3/22/2020,14,81,8,2,0
3/29/2020,8,57,3,1,<1
4/5/2020,4,46,3,<1,<1
4/12/2020,4,46,1,<1,<1
4/19/2020,3,39,1,1,0
4/26/2020,2,36,1,<1,<1
5/3/2020,3,36,1,<1,<1
5/10/2020,1,36,1,<1,<1
5/17/2020,2,37,1,<1,0
5/24/2020,2,33,1,<1,<1
5/31/2020,2,32,2,<1,0
6/7/2020,3,30,2,<1,0
6/14/2020,3,29,4,<1,<1
6/21/2020,3,29,4,<1,0
6/28/2020,4,32,2,<1,<1
7/5/2020,3,31,2,1,<1
7/12/2020,4,30,3,<1,<1
7/19/2020,4,33,5,<1,<1
7/26/2020,4,36,6,1,<1
8/2/2020,3,33,5,<1,<1
8/9/2020,3,33,2,1,0
8/16/2020,3,36,2,<1,0
8/23/2020,3,38,2,<1,<1
8/30/2020,4,39,1,<1,<1
9/6/2020,3,36,1,<1,<1
9/13/2020,3,37,1,<1,<1
9/20/2020,2,37,1,1,0
9/27/2020,2,38,1,<1,0
10/4/2020,2,37,1,<1,0
10/11/2020,2,40,<1,<1,0
10/18/2020,2,43,1,<1,0
10/25/2020,2,34,1,<1,<1
11/1/2020,2,37,<1,<1,0
11/8/2020,1,45,<1,<1,0
