Week,dry cough: (Austria),fever: (Austria),COVID-19 symptoms: (Austria),loss of smell: (Austria),coronavirus testing center: (Austria)
11/17/2019,0,66,0,0,0
11/24/2019,0,50,0,0,0
12/1/2019,0,51,0,0,0
12/8/2019,0,77,0,0,0
12/15/2019,0,100,0,0,0
12/22/2019,0,73,0,0,0
12/29/2019,5,65,0,0,0
1/5/2020,0,65,0,0,0
1/12/2020,0,72,0,0,0
1/19/2020,0,74,0,0,0
1/26/2020,0,65,0,0,0
2/2/2020,9,70,0,0,0
2/9/2020,0,52,0,0,0
2/16/2020,5,58,0,0,0
2/23/2020,4,49,9,0,0
3/1/2020,4,53,0,0,0
3/8/2020,9,83,4,0,0
3/15/2020,9,77,9,0,0
3/22/2020,4,64,4,0,0
3/29/2020,0,70,4,4,0
4/5/2020,0,73,0,0,0
4/12/2020,5,88,0,0,0
4/19/2020,0,53,0,0,0
4/26/2020,0,55,5,0,0
5/3/2020,0,40,5,0,0
5/10/2020,9,47,0,0,0
5/17/2020,0,59,0,0,0
5/24/2020,5,38,0,0,0
5/31/2020,5,35,9,0,0
6/7/2020,0,45,0,0,0
6/14/2020,4,45,0,0,0
6/21/2020,0,33,0,0,0
6/28/2020,0,44,0,0,0
7/5/2020,0,59,0,0,0
7/12/2020,0,49,0,0,0
7/19/2020,0,34,5,0,0
7/26/2020,0,47,0,0,0
8/2/2020,0,59,0,0,0
8/9/2020,5,47,0,0,0
8/16/2020,0,42,0,0,0
8/23/2020,0,44,0,0,0
8/30/2020,5,41,5,0,0
9/6/2020,0,44,5,5,0
9/13/2020,0,28,10,5,0
9/20/2020,5,60,9,0,0
9/27/2020,0,32,0,0,0
10/4/2020,5,38,5,0,0
10/11/2020,0,30,0,0,0
10/18/2020,0,35,0,5,0
10/25/2020,0,52,5,5,0
11/1/2020,0,52,0,0,0
11/8/2020,0,67,11,11,0
