Week,dry cough: (Bangladesh),fever: (Bangladesh),COVID-19 symptoms: (Bangladesh),loss of smell: (Bangladesh),coronavirus testing center: (Bangladesh)
11/17/2019,3,58,0,0,0
11/24/2019,2,62,0,0,0
12/1/2019,2,48,0,0,0
12/8/2019,2,41,0,0,0
12/15/2019,0,35,0,0,0
12/22/2019,2,46,0,0,0
12/29/2019,3,28,0,0,0
1/5/2020,4,41,0,0,0
1/12/2020,4,43,0,0,0
1/19/2020,4,55,0,0,0
1/26/2020,2,61,0,0,0
2/2/2020,2,73,0,0,0
2/9/2020,3,53,0,0,0
2/16/2020,4,65,0,0,0
2/23/2020,8,59,0,0,0
3/1/2020,4,51,0,0,0
3/8/2020,6,74,2,0,0
3/15/2020,7,80,5,0,0
3/22/2020,14,87,5,2,0
3/29/2020,7,63,3,2,0
4/5/2020,11,53,2,0,0
4/12/2020,8,57,4,0,0
4/19/2020,6,66,4,2,0
4/26/2020,5,68,2,0,0
5/3/2020,7,73,5,2,0
5/10/2020,7,73,6,2,0
5/17/2020,3,73,5,3,0
5/24/2020,6,100,5,5,0
5/31/2020,5,83,4,3,0
6/7/2020,6,73,3,2,0
6/14/2020,9,68,2,4,0
6/21/2020,6,77,3,0,0
6/28/2020,2,65,4,2,0
7/5/2020,2,56,5,2,0
7/12/2020,2,59,4,2,0
7/19/2020,4,61,2,2,0
7/26/2020,3,54,2,4,0
8/2/2020,5,59,2,3,0
8/9/2020,2,40,2,2,0
8/16/2020,4,49,3,0,0
8/23/2020,3,67,4,2,0
8/30/2020,3,65,2,2,0
9/6/2020,3,80,3,2,0
9/13/2020,5,66,3,2,0
9/20/2020,2,53,2,3,0
9/27/2020,2,44,3,2,0
10/4/2020,2,41,2,2,0
10/11/2020,2,43,2,0,0
10/18/2020,3,43,3,0,0
10/25/2020,2,55,2,2,0
11/1/2020,3,42,2,0,0
11/8/2020,6,48,0,4,0
