Week,dry cough: (Belgium),fever: (Belgium),COVID-19 symptoms: (Belgium),loss of smell: (Belgium),coronavirus testing center: (Belgium)
11/17/2019,3,37,0,0,0
11/24/2019,0,48,0,0,0
12/1/2019,0,51,0,0,0
12/8/2019,0,50,0,0,0
12/15/2019,3,44,0,0,0
12/22/2019,0,48,0,0,0
12/29/2019,3,57,0,0,0
1/5/2020,3,45,0,0,0
1/12/2020,0,46,0,0,0
1/19/2020,3,41,0,0,0
1/26/2020,0,45,0,0,0
2/2/2020,3,45,0,0,0
2/9/2020,3,56,3,0,0
2/16/2020,3,63,3,0,0
2/23/2020,3,55,3,0,0
3/1/2020,3,59,4,0,0
3/8/2020,5,91,5,0,0
3/15/2020,11,92,3,3,0
3/22/2020,3,68,5,8,0
3/29/2020,5,53,4,5,0
4/5/2020,3,63,4,0,0
4/12/2020,0,47,5,3,0
4/19/2020,0,58,0,0,0
4/26/2020,0,46,2,2,0
5/3/2020,2,43,2,0,0
5/10/2020,0,27,0,0,0
5/17/2020,0,54,0,0,0
5/24/2020,2,50,2,0,0
5/31/2020,0,43,0,2,0
6/7/2020,0,50,0,0,0
6/14/2020,0,38,0,0,0
6/21/2020,3,43,3,0,0
6/28/2020,0,39,0,0,0
7/5/2020,5,41,3,0,0
7/12/2020,0,37,3,3,0
7/19/2020,3,40,0,3,0
7/26/2020,3,32,3,0,0
8/2/2020,3,47,0,0,0
8/9/2020,5,45,0,0,0
8/16/2020,0,40,0,0,0
8/23/2020,0,42,3,0,0
8/30/2020,3,43,4,0,0
9/6/2020,3,42,4,0,0
9/13/2020,3,46,0,4,0
9/20/2020,3,42,8,3,0
9/27/2020,3,41,5,0,0
10/4/2020,5,25,3,3,0
10/11/2020,4,30,0,3,0
10/18/2020,3,36,3,3,0
10/25/2020,0,68,3,5,0
11/1/2020,0,90,3,0,0
11/8/2020,6,100,0,6,0
