Week,dry cough: (Bhutan),fever: (Bhutan),COVID-19 symptoms: (Bhutan),loss of smell: (Bhutan),coronavirus testing center: (Bhutan)
11/17/2019,0,72,0,0,0
11/24/2019,0,50,0,0,0
12/1/2019,36,37,0,0,0
12/8/2019,36,35,0,0,0
12/15/2019,0,34,0,0,0
12/22/2019,100,67,0,0,0
12/29/2019,0,51,0,0,0
1/5/2020,0,34,0,0,0
1/12/2020,0,96,0,0,0
1/19/2020,34,35,0,0,0
1/26/2020,30,77,0,0,0
2/2/2020,32,48,0,0,0
2/9/2020,0,48,0,0,0
2/16/2020,0,65,0,0,0
2/23/2020,32,32,0,0,0
3/1/2020,39,30,0,0,0
3/8/2020,29,57,0,0,0
3/15/2020,27,40,0,0,0
3/22/2020,70,31,0,0,0
3/29/2020,25,41,24,0,0
4/5/2020,26,26,0,0,0
4/12/2020,0,28,0,0,0
4/19/2020,0,51,0,0,0
4/26/2020,0,34,0,0,0
5/3/2020,0,52,0,0,0
5/10/2020,0,77,0,0,0
5/17/2020,0,44,0,0,0
5/24/2020,27,54,0,0,0
5/31/2020,26,52,0,0,0
6/7/2020,0,94,0,0,0
6/14/2020,0,51,0,0,0
6/21/2020,27,80,0,0,0
6/28/2020,0,48,0,0,0
7/5/2020,25,34,0,0,0
7/12/2020,0,62,0,0,0
7/19/2020,24,73,0,0,0
7/26/2020,0,61,23,0,0
8/2/2020,23,46,23,0,0
8/9/2020,33,67,22,0,0
8/16/2020,20,41,20,0,0
8/23/2020,20,51,0,0,0
8/30/2020,0,63,0,0,0
9/6/2020,0,34,0,0,0
9/13/2020,0,76,21,0,0
9/20/2020,24,77,0,0,0
9/27/2020,0,22,22,0,0
10/4/2020,0,35,23,0,0
10/11/2020,25,24,0,0,0
10/18/2020,25,33,0,0,0
10/25/2020,0,28,27,0,0
11/1/2020,0,37,0,0,0
11/8/2020,0,64,0,0,0
