Week,dry cough: (Brazil),fever: (Brazil),COVID-19 symptoms: (Brazil),loss of smell: (Brazil),coronavirus testing center: (Brazil)
11/17/2019,0,62,0,0,0
11/24/2019,2,63,0,0,0
12/1/2019,2,64,0,0,0
12/8/2019,0,76,0,0,0
12/15/2019,0,68,0,2,0
12/22/2019,0,91,0,0,0
12/29/2019,2,90,0,0,0
1/5/2020,2,80,0,0,0
1/12/2020,2,69,0,0,0
1/19/2020,0,87,0,0,0
1/26/2020,2,88,0,0,0
2/2/2020,2,56,0,0,0
2/9/2020,2,65,0,0,0
2/16/2020,2,79,0,0,0
2/23/2020,2,79,0,0,0
3/1/2020,0,64,0,0,0
3/8/2020,2,73,2,0,0
3/15/2020,2,85,5,0,0
3/22/2020,2,100,3,1,0
3/29/2020,3,74,2,3,0
4/5/2020,3,80,3,1,0
4/12/2020,0,70,3,0,0
4/19/2020,1,69,3,1,0
4/26/2020,3,63,2,0,0
5/3/2020,3,74,2,1,0
5/10/2020,0,64,2,0,0
5/17/2020,2,56,0,0,0
5/24/2020,3,70,2,1,0
5/31/2020,1,61,1,0,0
6/7/2020,1,67,1,0,0
6/14/2020,1,67,1,1,0
6/21/2020,1,56,2,0,0
6/28/2020,4,59,1,1,0
7/5/2020,1,65,1,0,0
7/12/2020,1,73,3,1,0
7/19/2020,1,64,0,1,0
7/26/2020,1,70,2,3,0
8/2/2020,1,61,1,0,0
8/9/2020,1,58,3,0,0
8/16/2020,1,46,1,0,0
8/23/2020,1,54,2,0,0
8/30/2020,1,55,0,0,0
9/6/2020,0,65,2,1,0
9/13/2020,0,58,0,1,0
9/20/2020,1,61,1,1,0
9/27/2020,1,57,0,0,0
10/4/2020,1,58,6,1,0
10/11/2020,0,52,2,0,0
10/18/2020,4,46,1,0,0
10/25/2020,2,64,0,0,0
11/1/2020,0,75,1,0,0
11/8/2020,0,76,3,0,0
