Week,dry cough: (California),fever: (California),COVID-19 symptoms: (California),loss of smell: (California),coronavirus testing center: (California)
11/17/2019,2,36,0,<1,0
11/24/2019,2,33,0,<1,0
12/1/2019,2,36,0,<1,0
12/8/2019,3,36,0,<1,0
12/15/2019,2,40,0,<1,0
12/22/2019,3,46,0,<1,0
12/29/2019,4,52,0,<1,0
1/5/2020,4,44,0,<1,0
1/12/2020,3,47,0,<1,0
1/19/2020,3,51,0,<1,0
1/26/2020,4,49,0,<1,0
2/2/2020,3,47,0,<1,0
2/9/2020,3,50,<1,<1,0
2/16/2020,3,49,<1,<1,0
2/23/2020,3,47,1,<1,0
3/1/2020,4,52,2,<1,<1
3/8/2020,10,75,5,<1,1
3/15/2020,17,100,10,<1,1
3/22/2020,13,85,7,4,1
3/29/2020,9,72,7,2,1
4/5/2020,6,56,4,1,<1
4/12/2020,4,45,3,1,<1
4/19/2020,3,40,2,1,<1
4/26/2020,2,37,2,1,<1
5/3/2020,1,34,2,<1,<1
5/10/2020,2,34,2,<1,<1
5/17/2020,1,32,2,1,<1
5/24/2020,2,31,2,1,<1
5/31/2020,1,30,2,<1,<1
6/7/2020,2,32,3,1,<1
6/14/2020,2,32,8,1,<1
6/21/2020,2,43,10,2,1
6/28/2020,2,43,7,2,1
7/5/2020,2,47,6,2,1
7/12/2020,2,42,8,2,1
7/19/2020,2,38,11,2,<1
7/26/2020,2,37,7,1,<1
8/2/2020,2,35,6,1,<1
8/9/2020,2,33,3,1,<1
8/16/2020,1,27,2,1,<1
8/23/2020,1,27,2,<1,<1
8/30/2020,1,29,2,1,<1
9/6/2020,1,28,2,1,<1
9/13/2020,1,28,2,1,<1
9/20/2020,1,28,2,1,<1
9/27/2020,1,32,2,1,<1
10/4/2020,1,33,2,1,<1
10/11/2020,1,33,2,1,<1
10/18/2020,1,31,2,1,<1
10/25/2020,2,31,2,1,<1
11/1/2020,2,27,2,1,<1
11/8/2020,1,28,2,1,<1
