Week,dry cough: (Canada),fever: (Canada),COVID-19 symptoms: (Canada),loss of smell: (Canada),coronavirus testing center: (Canada)
11/17/2019,2,24,0,<1,0
11/24/2019,2,24,0,<1,0
12/1/2019,2,28,0,<1,0
12/8/2019,2,33,0,<1,0
12/15/2019,2,33,0,<1,0
12/22/2019,3,40,0,<1,0
12/29/2019,4,39,0,<1,0
1/5/2020,3,33,0,<1,0
1/12/2020,2,35,0,<1,0
1/19/2020,3,37,0,<1,0
1/26/2020,3,40,0,<1,0
2/2/2020,2,37,0,<1,0
2/9/2020,3,39,<1,<1,0
2/16/2020,3,48,<1,<1,0
2/23/2020,2,39,1,<1,0
3/1/2020,3,37,2,<1,0
3/8/2020,7,62,9,<1,<1
3/15/2020,12,100,15,<1,1
3/22/2020,9,73,9,2,<1
3/29/2020,5,50,6,1,<1
4/5/2020,4,41,4,1,<1
4/12/2020,3,35,3,1,<1
4/19/2020,2,31,3,<1,<1
4/26/2020,2,29,2,<1,<1
5/3/2020,1,26,2,<1,<1
5/10/2020,2,24,2,<1,0
5/17/2020,1,23,1,<1,<1
5/24/2020,1,24,1,<1,<1
5/31/2020,1,21,1,<1,<1
6/7/2020,1,23,2,<1,<1
6/14/2020,1,23,4,<1,<1
6/21/2020,1,23,3,<1,<1
6/28/2020,1,22,2,<1,<1
7/5/2020,1,23,2,<1,<1
7/12/2020,2,25,3,<1,<1
7/19/2020,1,27,5,<1,<1
7/26/2020,1,27,4,<1,0
8/2/2020,1,23,3,<1,<1
8/9/2020,1,25,2,<1,0
8/16/2020,1,23,2,<1,<1
8/23/2020,2,26,2,<1,<1
8/30/2020,1,25,2,<1,0
9/6/2020,1,25,2,<1,<1
9/13/2020,2,28,4,<1,<1
9/20/2020,2,31,5,<1,<1
9/27/2020,2,31,5,<1,<1
10/4/2020,2,31,4,1,<1
10/11/2020,2,26,2,<1,<1
10/18/2020,2,25,2,<1,<1
10/25/2020,2,24,2,<1,0
11/1/2020,2,23,1,1,0
11/8/2020,1,28,2,1,0
