Week,dry cough: (Colorado),fever: (Colorado),COVID-19 symptoms: (Colorado),loss of smell: (Colorado),coronavirus testing center: (Colorado)
11/17/2019,2,25,0,0,0
11/24/2019,2,23,0,0,0
12/1/2019,3,28,0,0,0
12/8/2019,2,32,0,0,0
12/15/2019,2,36,0,0,0
12/22/2019,2,43,0,1,0
12/29/2019,2,39,0,1,0
1/5/2020,2,35,0,0,0
1/12/2020,2,36,0,1,0
1/19/2020,2,37,0,0,0
1/26/2020,3,41,0,0,0
2/2/2020,2,38,0,<1,0
2/9/2020,2,38,1,1,0
2/16/2020,3,34,1,0,0
2/23/2020,2,37,0,0,0
3/1/2020,3,43,1,0,1
3/8/2020,8,66,6,<1,2
3/15/2020,13,100,12,1,2
3/22/2020,9,80,9,5,1
3/29/2020,5,60,8,2,0
4/5/2020,4,49,5,1,<1
4/12/2020,3,33,2,1,0
4/19/2020,3,31,2,1,0
4/26/2020,2,31,2,2,<1
5/3/2020,1,30,3,1,0
5/10/2020,2,27,3,1,<1
5/17/2020,1,28,1,1,<1
5/24/2020,1,26,1,1,<1
5/31/2020,2,24,1,1,0
6/7/2020,1,24,1,1,1
6/14/2020,2,25,5,<1,1
6/21/2020,1,22,7,1,1
6/28/2020,1,30,3,<1,1
7/5/2020,2,29,3,1,1
7/12/2020,2,33,7,2,<1
7/19/2020,1,34,7,<1,1
7/26/2020,1,34,5,1,1
8/2/2020,2,29,6,1,<1
8/9/2020,2,27,2,1,<1
8/16/2020,1,25,2,<1,0
8/23/2020,1,25,2,1,1
8/30/2020,2,21,1,1,0
9/6/2020,1,23,2,1,<1
9/13/2020,1,25,2,<1,<1
9/20/2020,2,27,4,1,<1
9/27/2020,1,27,1,1,1
10/4/2020,1,30,2,1,1
10/11/2020,2,27,3,2,1
10/18/2020,1,26,2,2,0
10/25/2020,3,28,4,2,1
11/1/2020,1,26,4,1,0
11/8/2020,3,28,2,2,0
