Week,dry cough: (Connecticut),fever: (Connecticut),COVID-19 symptoms: (Connecticut),loss of smell: (Connecticut),coronavirus testing center: (Connecticut)
11/17/2019,2,28,0,0,0
11/24/2019,1,27,0,0,0
12/1/2019,1,23,0,1,0
12/8/2019,2,28,0,0,0
12/15/2019,2,27,0,1,0
12/22/2019,2,37,0,1,0
12/29/2019,2,39,0,1,0
1/5/2020,3,32,0,2,0
1/12/2020,1,40,0,0,0
1/19/2020,4,44,0,1,0
1/26/2020,2,42,0,0,0
2/2/2020,4,43,0,1,0
2/9/2020,3,46,0,0,0
2/16/2020,2,33,1,0,0
2/23/2020,2,38,1,0,0
3/1/2020,4,40,2,0,1
3/8/2020,8,77,7,1,1
3/15/2020,11,100,6,1,2
3/22/2020,9,79,5,5,1
3/29/2020,6,64,7,3,1
4/5/2020,6,55,3,2,1
4/12/2020,4,46,3,3,0
4/19/2020,4,39,2,2,1
4/26/2020,2,32,2,1,1
5/3/2020,3,26,2,1,1
5/10/2020,1,30,2,1,0
5/17/2020,2,27,2,1,1
5/24/2020,1,27,2,1,1
5/31/2020,1,26,1,1,1
6/7/2020,1,24,2,2,0
6/14/2020,2,25,3,1,0
6/21/2020,1,26,3,1,1
6/28/2020,2,27,2,1,0
7/5/2020,1,30,1,1,0
7/12/2020,1,29,4,1,1
7/19/2020,2,28,8,1,1
7/26/2020,1,28,2,1,1
8/2/2020,1,23,5,1,0
8/9/2020,3,29,2,1,1
8/16/2020,1,30,3,1,1
8/23/2020,1,26,1,1,0
8/30/2020,1,25,1,1,0
9/6/2020,1,26,2,1,0
9/13/2020,2,26,2,1,0
9/20/2020,3,30,3,1,0
9/27/2020,2,28,1,1,0
10/4/2020,4,28,2,1,0
10/11/2020,3,27,2,1,0
10/18/2020,4,24,3,1,1
10/25/2020,2,27,2,1,0
11/1/2020,4,29,2,1,1
11/8/2020,4,24,4,4,0
