Week,dry cough: (Cyprus),fever: (Cyprus),COVID-19 symptoms: (Cyprus),loss of smell: (Cyprus),coronavirus testing center: (Cyprus)
11/17/2019,0,20,0,0,0
11/24/2019,10,27,0,0,0
12/1/2019,0,24,0,0,0
12/8/2019,0,20,0,0,0
12/15/2019,10,20,0,0,0
12/22/2019,0,35,0,0,0
12/29/2019,10,30,0,0,0
1/5/2020,0,24,0,0,0
1/12/2020,9,50,0,9,0
1/19/2020,0,50,0,0,0
1/26/2020,15,23,0,0,0
2/2/2020,10,33,0,0,0
2/9/2020,10,26,0,0,0
2/16/2020,10,32,0,0,0
2/23/2020,9,46,0,0,0
3/1/2020,19,38,10,0,0
3/8/2020,17,79,9,0,0
3/15/2020,18,100,9,9,0
3/22/2020,17,55,0,0,0
3/29/2020,17,31,8,0,0
4/5/2020,0,31,9,0,0
4/12/2020,9,34,9,0,0
4/19/2020,14,41,0,0,0
4/26/2020,0,15,0,0,0
5/3/2020,9,18,0,0,0
5/10/2020,0,26,0,0,0
5/17/2020,0,33,0,0,0
5/24/2020,0,31,0,0,0
5/31/2020,0,16,0,0,0
6/7/2020,10,32,0,0,0
6/14/2020,0,13,0,10,0
6/21/2020,0,26,0,0,0
6/28/2020,0,15,0,0,0
7/5/2020,0,15,0,0,0
7/12/2020,0,19,0,0,0
7/19/2020,0,10,0,10,0
7/26/2020,0,29,0,0,0
8/2/2020,0,31,9,0,0
8/9/2020,0,32,9,0,0
8/16/2020,9,19,0,0,0
8/23/2020,0,24,9,0,0
8/30/2020,0,24,0,0,0
9/6/2020,0,18,0,0,0
9/13/2020,0,15,9,0,0
9/20/2020,0,27,9,0,0
9/27/2020,0,36,0,0,0
10/4/2020,9,23,0,0,0
10/11/2020,10,29,0,10,0
10/18/2020,9,28,0,19,0
10/25/2020,9,32,0,0,0
11/1/2020,18,21,0,9,0
11/8/2020,0,29,0,22,0
