Week,dry cough: (District of Columbia),fever: (District of Columbia),COVID-19 symptoms: (District of Columbia),loss of smell: (District of Columbia),coronavirus testing center: (District of Columbia)
11/17/2019,3,21,0,0,0
11/24/2019,5,29,0,0,0
12/1/2019,3,33,0,0,0
12/8/2019,3,26,0,3,0
12/15/2019,3,23,0,0,0
12/22/2019,5,43,0,5,0
12/29/2019,4,46,0,0,0
1/5/2020,6,22,0,0,0
1/12/2020,5,36,0,0,0
1/19/2020,3,30,0,0,0
1/26/2020,3,38,0,0,0
2/2/2020,4,33,0,0,0
2/9/2020,3,29,0,0,0
2/16/2020,4,33,0,0,0
2/23/2020,4,42,3,0,0
3/1/2020,10,51,5,0,3
3/8/2020,11,71,11,0,4
3/15/2020,20,100,14,3,0
3/22/2020,17,83,10,4,3
3/29/2020,8,59,20,3,3
4/5/2020,7,61,7,3,0
4/12/2020,5,63,3,3,3
4/19/2020,10,46,10,0,0
4/26/2020,3,26,3,0,0
5/3/2020,0,33,6,3,3
5/10/2020,0,39,3,3,0
5/17/2020,5,33,3,0,0
5/24/2020,4,31,4,0,0
5/31/2020,3,26,3,3,3
6/7/2020,4,27,5,3,3
6/14/2020,0,26,8,0,0
6/21/2020,4,36,10,4,0
6/28/2020,0,29,6,0,0
7/5/2020,0,23,6,4,0
7/12/2020,4,23,7,0,4
7/19/2020,0,34,6,0,4
7/26/2020,4,21,6,4,0
8/2/2020,11,25,0,0,4
8/9/2020,0,29,8,4,0
8/16/2020,4,23,0,0,0
8/23/2020,0,23,4,0,3
8/30/2020,7,20,4,0,0
9/6/2020,4,19,6,0,0
9/13/2020,3,34,3,0,0
9/20/2020,0,32,4,0,0
9/27/2020,0,22,4,0,0
10/4/2020,4,31,4,4,0
10/11/2020,4,22,13,0,0
10/18/2020,4,23,9,0,0
10/25/2020,6,21,6,0,0
11/1/2020,0,14,7,0,0
11/8/2020,0,42,0,10,0
