Week,dry cough: (Egypt),fever: (Egypt),COVID-19 symptoms: (Egypt),loss of smell: (Egypt),coronavirus testing center: (Egypt)
11/17/2019,4,84,0,0,0
11/24/2019,4,72,0,0,0
12/1/2019,8,79,0,0,0
12/8/2019,4,66,0,0,0
12/15/2019,4,67,0,0,0
12/22/2019,4,72,0,0,0
12/29/2019,4,55,0,0,0
1/5/2020,0,61,0,0,0
1/12/2020,0,77,0,0,0
1/19/2020,0,52,0,0,0
1/26/2020,4,54,0,4,0
2/2/2020,6,44,0,0,0
2/9/2020,4,50,0,0,0
2/16/2020,8,46,0,0,0
2/23/2020,4,63,0,0,0
3/1/2020,6,70,4,0,0
3/8/2020,6,77,4,0,0
3/15/2020,6,100,5,0,0
3/22/2020,6,79,3,3,0
3/29/2020,10,82,5,0,0
4/5/2020,3,70,5,0,0
4/12/2020,4,64,3,0,0
4/19/2020,0,55,7,4,0
4/26/2020,6,42,0,0,0
5/3/2020,7,64,3,3,0
5/10/2020,7,79,5,0,0
5/17/2020,11,89,5,4,0
5/24/2020,3,99,4,11,0
5/31/2020,6,93,8,10,0
6/7/2020,7,93,10,6,0
6/14/2020,5,74,5,9,0
6/21/2020,0,52,5,0,0
6/28/2020,8,76,6,4,0
7/5/2020,0,62,4,4,0
7/12/2020,4,52,4,0,0
7/19/2020,0,52,6,8,0
7/26/2020,4,56,4,4,0
8/2/2020,0,39,6,4,0
8/9/2020,0,44,7,4,0
8/16/2020,6,51,4,4,0
8/23/2020,4,51,6,0,0
8/30/2020,4,57,6,7,0
9/6/2020,4,48,4,8,0
9/13/2020,6,54,0,4,0
9/20/2020,6,57,4,4,0
9/27/2020,7,52,4,4,0
10/4/2020,4,46,0,8,0
10/11/2020,4,54,8,4,0
10/18/2020,4,46,0,4,0
10/25/2020,4,53,0,5,0
11/1/2020,4,68,4,4,0
11/8/2020,0,83,0,9,0
