Week,dry cough: (Finland),fever: (Finland),COVID-19 symptoms: (Finland),loss of smell: (Finland),coronavirus testing center: (Finland)
11/17/2019,3,39,0,0,0
11/24/2019,0,20,0,0,0
12/1/2019,0,20,0,0,0
12/8/2019,0,30,0,0,0
12/15/2019,0,32,0,0,0
12/22/2019,0,26,0,0,0
12/29/2019,0,33,0,0,0
1/5/2020,3,34,0,0,0
1/12/2020,3,26,0,0,0
1/19/2020,3,21,0,3,0
1/26/2020,3,36,0,0,0
2/2/2020,0,26,0,0,0
2/9/2020,3,29,0,0,0
2/16/2020,0,23,0,0,0
2/23/2020,0,39,3,0,0
3/1/2020,0,38,3,0,0
3/8/2020,0,41,11,3,0
3/15/2020,6,56,7,3,0
3/22/2020,10,46,7,4,0
3/29/2020,3,100,4,3,0
4/5/2020,4,57,3,6,0
4/12/2020,3,28,5,3,0
4/19/2020,0,27,0,3,0
4/26/2020,0,25,3,0,0
5/3/2020,0,21,0,0,0
5/10/2020,5,26,0,0,0
5/17/2020,0,19,3,0,0
5/24/2020,0,17,3,0,0
5/31/2020,0,23,3,0,0
6/7/2020,3,21,0,0,0
6/14/2020,0,27,3,0,0
6/21/2020,3,19,0,0,0
6/28/2020,0,26,3,0,0
7/5/2020,3,16,0,0,0
7/12/2020,3,17,6,0,0
7/19/2020,3,28,0,3,0
7/26/2020,3,20,0,0,0
8/2/2020,3,24,6,3,0
8/9/2020,0,31,0,3,0
8/16/2020,3,22,3,0,0
8/23/2020,3,27,4,0,0
8/30/2020,3,20,3,0,0
9/6/2020,0,20,4,0,0
9/13/2020,0,20,0,0,0
9/20/2020,0,23,3,0,0
9/27/2020,0,20,3,0,0
10/4/2020,0,19,3,0,0
10/11/2020,0,18,0,3,0
10/18/2020,0,23,0,0,0
10/25/2020,0,18,0,0,0
11/1/2020,0,31,0,3,0
11/8/2020,0,28,0,8,0
