Week,dry cough: (Florida),fever: (Florida),COVID-19 symptoms: (Florida),loss of smell: (Florida),coronavirus testing center: (Florida)
11/17/2019,2,39,0,<1,0
11/24/2019,3,37,0,<1,0
12/1/2019,2,33,0,<1,0
12/8/2019,3,38,0,<1,0
12/15/2019,3,41,0,<1,0
12/22/2019,2,46,0,<1,0
12/29/2019,3,41,0,<1,0
1/5/2020,3,41,0,<1,0
1/12/2020,2,39,0,<1,0
1/19/2020,3,41,0,<1,0
1/26/2020,3,45,0,<1,0
2/2/2020,3,44,0,<1,0
2/9/2020,3,43,<1,<1,0
2/16/2020,3,40,<1,<1,0
2/23/2020,3,40,1,<1,<1
3/1/2020,3,54,1,<1,<1
3/8/2020,9,72,4,<1,1
3/15/2020,15,100,7,1,2
3/22/2020,12,92,6,3,2
3/29/2020,10,78,6,1,1
4/5/2020,6,66,4,1,1
4/12/2020,4,48,4,1,1
4/19/2020,3,47,2,1,1
4/26/2020,2,38,2,1,1
5/3/2020,2,36,2,<1,1
5/10/2020,3,36,2,1,<1
5/17/2020,2,34,2,<1,<1
5/24/2020,1,32,2,1,1
5/31/2020,1,27,2,<1,<1
6/7/2020,2,33,3,1,<1
6/14/2020,2,41,13,2,1
6/21/2020,3,46,17,3,2
6/28/2020,3,56,9,4,1
7/5/2020,3,53,10,3,1
7/12/2020,3,52,10,3,1
7/19/2020,2,43,13,3,1
7/26/2020,3,40,8,2,1
8/2/2020,2,38,7,1,1
8/9/2020,1,35,4,1,<1
8/16/2020,1,33,3,1,<1
8/23/2020,1,28,3,1,<1
8/30/2020,1,31,3,1,<1
9/6/2020,1,33,3,1,<1
9/13/2020,2,31,2,1,<1
9/20/2020,1,29,2,1,<1
9/27/2020,2,30,3,1,<1
10/4/2020,2,34,3,1,<1
10/11/2020,2,32,3,1,<1
10/18/2020,2,34,2,1,0
10/25/2020,2,33,3,1,0
11/1/2020,1,27,2,1,<1
11/8/2020,1,30,2,1,<1
