Week,dry cough: (Germany),fever: (Germany),COVID-19 symptoms: (Germany),loss of smell: (Germany),coronavirus testing center: (Germany)
11/17/2019,1,45,0,0,0
11/24/2019,0,48,0,0,0
12/1/2019,2,54,0,0,0
12/8/2019,1,97,0,0,0
12/15/2019,1,97,0,0,0
12/22/2019,1,100,0,0,0
12/29/2019,1,81,0,0,0
1/5/2020,1,62,0,0,0
1/12/2020,2,50,0,0,0
1/19/2020,1,47,0,0,0
1/26/2020,2,52,0,0,0
2/2/2020,<1,43,0,<1,0
2/9/2020,1,47,0,0,0
2/16/2020,1,50,0,0,0
2/23/2020,1,48,<1,0,0
3/1/2020,1,59,1,0,0
3/8/2020,3,61,2,0,0
3/15/2020,3,62,2,1,0
3/22/2020,2,56,1,1,0
3/29/2020,2,55,1,1,0
4/5/2020,1,46,1,0,0
4/12/2020,1,48,1,1,0
4/19/2020,2,44,1,<1,0
4/26/2020,1,41,1,0,0
5/3/2020,0,39,1,0,0
5/10/2020,1,39,1,<1,0
5/17/2020,<1,42,<1,0,0
5/24/2020,1,41,1,0,0
5/31/2020,<1,37,<1,0,0
6/7/2020,1,39,<1,1,0
6/14/2020,1,39,0,<1,0
6/21/2020,1,33,1,0,0
6/28/2020,0,38,<1,<1,0
7/5/2020,<1,39,<1,<1,0
7/12/2020,1,36,1,1,0
7/19/2020,1,37,1,0,0
7/26/2020,1,39,2,1,0
8/2/2020,1,36,0,1,0
8/9/2020,<1,34,1,1,0
8/16/2020,1,35,2,1,0
8/23/2020,1,33,1,0,0
8/30/2020,1,35,1,1,0
9/6/2020,0,29,1,1,0
9/13/2020,1,39,1,1,0
9/20/2020,1,33,1,1,0
9/27/2020,1,30,0,0,0
10/4/2020,1,29,1,1,0
10/11/2020,1,30,1,1,0
10/18/2020,1,30,1,1,0
10/25/2020,1,34,1,1,0
11/1/2020,1,31,<1,0,0
11/8/2020,1,38,1,1,0
