Week,dry cough: (Greece),fever: (Greece),COVID-19 symptoms: (Greece),loss of smell: (Greece),coronavirus testing center: (Greece)
11/17/2019,5,71,0,0,0
11/24/2019,0,55,0,0,0
12/1/2019,0,64,0,0,0
12/8/2019,5,86,0,0,0
12/15/2019,5,63,0,0,0
12/22/2019,5,100,0,0,0
12/29/2019,0,92,0,0,0
1/5/2020,5,59,0,0,0
1/12/2020,6,54,0,4,0
1/19/2020,4,61,0,0,0
1/26/2020,0,77,0,0,0
2/2/2020,0,69,0,0,0
2/9/2020,4,53,0,0,0
2/16/2020,4,74,0,4,0
2/23/2020,4,59,0,0,0
3/1/2020,0,69,4,0,0
3/8/2020,4,85,4,0,0
3/15/2020,6,79,0,0,0
3/22/2020,6,66,4,4,0
3/29/2020,4,55,4,0,0
4/5/2020,4,37,0,4,0
4/12/2020,0,61,0,4,0
4/19/2020,0,46,4,0,0
4/26/2020,0,60,0,0,0
5/3/2020,0,47,4,0,0
5/10/2020,0,28,4,0,0
5/17/2020,0,38,0,0,0
5/24/2020,0,32,0,0,0
5/31/2020,0,25,4,0,0
6/7/2020,4,44,0,0,0
6/14/2020,0,33,0,0,0
6/21/2020,0,30,4,4,0
6/28/2020,0,34,9,0,0
7/5/2020,4,31,0,0,0
7/12/2020,0,34,0,0,0
7/19/2020,4,45,4,0,0
7/26/2020,4,30,7,0,0
8/2/2020,4,32,4,4,0
8/9/2020,5,32,5,5,0
8/16/2020,5,60,4,0,0
8/23/2020,4,34,4,4,0
8/30/2020,0,39,4,0,0
9/6/2020,0,38,0,0,0
9/13/2020,4,36,0,4,0
9/20/2020,4,25,8,4,0
9/27/2020,8,38,8,4,0
10/4/2020,0,37,4,4,0
10/11/2020,4,18,0,0,0
10/18/2020,4,38,0,0,0
10/25/2020,4,38,4,0,0
11/1/2020,0,30,4,0,0
11/8/2020,0,42,10,0,0
