Week,dry cough: (Guyana),fever: (Guyana),COVID-19 symptoms: (Guyana),loss of smell: (Guyana),coronavirus testing center: (Guyana)
11/17/2019,0,39,0,0,0
11/24/2019,14,28,0,0,0
12/1/2019,0,14,0,0,0
12/8/2019,15,15,0,0,0
12/15/2019,14,36,0,0,0
12/22/2019,0,23,0,0,0
12/29/2019,0,49,0,0,0
1/5/2020,0,31,0,0,0
1/12/2020,0,23,0,0,0
1/19/2020,0,48,0,0,0
1/26/2020,0,42,0,0,0
2/2/2020,12,42,0,0,0
2/9/2020,0,30,0,0,0
2/16/2020,12,12,0,0,0
2/23/2020,13,18,0,0,0
3/1/2020,11,44,0,0,0
3/8/2020,0,18,0,0,0
3/15/2020,12,31,12,0,0
3/22/2020,18,42,24,0,0
3/29/2020,0,100,0,0,0
4/5/2020,18,60,12,0,0
4/12/2020,0,25,12,0,0
4/19/2020,13,33,0,0,0
4/26/2020,12,25,0,0,0
5/3/2020,0,66,11,0,0
5/10/2020,0,12,0,0,0
5/17/2020,0,17,0,0,0
5/24/2020,0,34,0,0,0
5/31/2020,0,48,0,0,0
6/7/2020,11,16,0,0,0
6/14/2020,0,11,0,0,0
6/21/2020,17,22,11,0,0
6/28/2020,0,33,0,0,0
7/5/2020,0,33,0,0,0
7/12/2020,0,32,11,0,0
7/19/2020,11,33,11,0,0
7/26/2020,0,11,11,0,0
8/2/2020,0,23,17,0,0
8/9/2020,0,23,11,0,0
8/16/2020,0,50,22,0,0
8/23/2020,0,23,11,0,0
8/30/2020,0,28,0,0,0
9/6/2020,11,38,0,0,0
9/13/2020,10,10,0,0,0
9/20/2020,10,44,0,0,0
9/27/2020,0,15,10,0,0
10/4/2020,10,29,0,0,0
10/11/2020,0,40,0,0,0
10/18/2020,0,20,0,0,0
10/25/2020,0,31,10,0,0
11/1/2020,19,29,0,0,0
11/8/2020,0,24,24,0,0
