Week,dry cough: (Hawaii),fever: (Hawaii),COVID-19 symptoms: (Hawaii),loss of smell: (Hawaii),coronavirus testing center: (Hawaii)
11/17/2019,6,39,0,0,0
11/24/2019,0,47,0,0,0
12/1/2019,3,39,0,3,0
12/8/2019,3,42,0,0,0
12/15/2019,6,66,0,0,0
12/22/2019,3,51,0,0,0
12/29/2019,0,56,0,3,0
1/5/2020,7,39,0,3,0
1/12/2020,3,40,0,0,0
1/19/2020,3,58,0,0,0
1/26/2020,9,46,0,0,0
2/2/2020,9,41,0,0,0
2/9/2020,6,41,0,0,0
2/16/2020,5,50,3,0,0
2/23/2020,4,43,3,0,0
3/1/2020,8,66,3,0,0
3/8/2020,13,73,4,0,5
3/15/2020,16,100,9,3,3
3/22/2020,20,64,10,4,0
3/29/2020,23,70,9,0,0
4/5/2020,4,60,8,3,0
4/12/2020,0,38,3,3,0
4/19/2020,4,33,5,0,0
4/26/2020,3,41,3,4,0
5/3/2020,5,35,5,3,0
5/10/2020,0,36,3,0,3
5/17/2020,0,32,3,0,0
5/24/2020,3,44,6,0,0
5/31/2020,0,21,0,0,0
6/7/2020,0,16,9,0,3
6/14/2020,3,30,7,0,0
6/21/2020,0,27,3,6,0
6/28/2020,3,51,4,0,0
7/5/2020,3,30,6,3,3
7/12/2020,3,51,6,0,0
7/19/2020,0,38,12,0,0
7/26/2020,0,35,6,0,0
8/2/2020,6,40,15,3,0
8/9/2020,6,45,7,0,3
8/16/2020,0,37,4,3,0
8/23/2020,3,28,3,3,0
8/30/2020,0,40,3,0,0
9/6/2020,5,26,3,0,0
9/13/2020,3,12,3,0,0
9/20/2020,3,29,0,0,0
9/27/2020,0,28,0,0,0
10/4/2020,3,33,3,3,3
10/11/2020,0,33,0,0,0
10/18/2020,0,33,0,3,0
10/25/2020,3,30,3,3,0
11/1/2020,0,21,3,0,0
11/8/2020,0,18,7,0,0
