Week,dry cough: (Hong Kong),fever: (Hong Kong),COVID-19 symptoms: (Hong Kong),loss of smell: (Hong Kong),coronavirus testing center: (Hong Kong)
11/17/2019,0,52,0,0,0
11/24/2019,2,49,0,0,0
12/1/2019,2,44,0,0,0
12/8/2019,3,56,0,0,0
12/15/2019,2,60,0,0,0
12/22/2019,3,79,0,0,0
12/29/2019,5,54,0,0,0
1/5/2020,6,64,0,0,0
1/12/2020,0,77,0,0,0
1/19/2020,4,85,0,0,0
1/26/2020,10,100,0,0,0
2/2/2020,3,78,0,0,0
2/9/2020,3,73,4,0,0
2/16/2020,0,60,2,0,0
2/23/2020,2,61,0,0,0
3/1/2020,4,63,2,0,0
3/8/2020,4,62,0,0,0
3/15/2020,3,73,9,2,0
3/22/2020,6,86,6,3,0
3/29/2020,8,78,5,0,0
4/5/2020,6,64,4,2,0
4/12/2020,0,71,3,2,0
4/19/2020,0,56,0,0,0
4/26/2020,2,53,4,0,0
5/3/2020,2,60,2,0,0
5/10/2020,0,55,0,0,0
5/17/2020,0,44,0,0,0
5/24/2020,0,45,0,0,0
5/31/2020,0,50,2,0,0
6/7/2020,0,52,2,0,0
6/14/2020,3,58,2,0,0
6/21/2020,3,53,0,0,0
6/28/2020,2,40,2,0,0
7/5/2020,2,61,2,0,0
7/12/2020,2,60,4,0,0
7/19/2020,6,53,6,2,0
7/26/2020,2,58,4,0,0
8/2/2020,0,69,5,0,0
8/9/2020,2,48,2,0,0
8/16/2020,3,45,2,0,0
8/23/2020,4,45,0,2,0
8/30/2020,2,46,0,2,0
9/6/2020,2,45,2,0,0
9/13/2020,2,40,2,0,0
9/20/2020,0,47,0,0,0
9/27/2020,0,38,2,0,0
10/4/2020,0,48,0,0,0
10/11/2020,0,57,0,0,0
10/18/2020,2,43,2,2,0
10/25/2020,4,45,0,0,0
11/1/2020,2,45,2,0,0
11/8/2020,5,54,5,0,0
