Week,dry cough: (Hungary),fever: (Hungary),COVID-19 symptoms: (Hungary),loss of smell: (Hungary),coronavirus testing center: (Hungary)
11/17/2019,9,53,0,0,0
11/24/2019,0,47,0,0,0
12/1/2019,0,55,0,0,0
12/8/2019,0,72,0,0,0
12/15/2019,9,85,0,0,0
12/22/2019,0,83,0,0,0
12/29/2019,13,72,0,0,0
1/5/2020,8,68,0,0,0
1/12/2020,16,46,0,0,0
1/19/2020,0,66,0,0,0
1/26/2020,0,100,0,0,0
2/2/2020,0,42,0,0,0
2/9/2020,8,65,8,0,0
2/16/2020,0,43,0,0,0
2/23/2020,0,54,0,0,0
3/1/2020,8,70,0,0,0
3/8/2020,8,95,17,0,0
3/15/2020,24,82,12,8,0
3/22/2020,7,97,7,0,0
3/29/2020,7,64,7,0,0
4/5/2020,16,66,0,0,0
4/12/2020,0,52,0,0,0
4/19/2020,0,46,8,8,0
4/26/2020,0,87,8,0,0
5/3/2020,8,54,0,0,0
5/10/2020,8,31,0,0,0
5/17/2020,0,37,0,0,0
5/24/2020,0,26,8,0,0
5/31/2020,0,36,0,8,0
6/7/2020,0,57,0,0,0
6/14/2020,8,55,0,0,0
6/21/2020,0,45,0,0,0
6/28/2020,0,59,8,0,0
7/5/2020,0,35,0,0,0
7/12/2020,0,43,0,0,0
7/19/2020,0,52,9,0,0
7/26/2020,0,51,9,0,0
8/2/2020,0,55,0,0,0
8/9/2020,0,49,0,0,0
8/16/2020,0,39,0,0,0
8/23/2020,0,64,0,0,0
8/30/2020,0,67,9,9,0
9/6/2020,0,69,9,13,0
9/13/2020,0,40,9,9,0
9/20/2020,8,43,9,8,0
9/27/2020,0,52,13,17,0
10/4/2020,0,29,0,0,0
10/11/2020,0,32,9,0,0
10/18/2020,19,42,0,0,0
10/25/2020,0,53,0,9,0
11/1/2020,0,36,8,11,0
11/8/2020,20,70,0,0,0
