Week,dry cough: (Idaho),fever: (Idaho),COVID-19 symptoms: (Idaho),loss of smell: (Idaho),coronavirus testing center: (Idaho)
11/17/2019,0,40,0,0,0
11/24/2019,2,30,0,0,0
12/1/2019,2,35,0,0,0
12/8/2019,0,33,0,2,0
12/15/2019,4,44,0,0,0
12/22/2019,3,46,0,0,0
12/29/2019,2,42,0,0,0
1/5/2020,2,41,0,0,0
1/12/2020,4,38,0,0,0
1/19/2020,3,39,0,0,0
1/26/2020,2,41,0,2,0
2/2/2020,3,35,0,0,0
2/9/2020,5,40,0,0,0
2/16/2020,2,31,0,0,0
2/23/2020,2,33,2,2,0
3/1/2020,2,41,4,0,2
3/8/2020,7,60,4,0,2
3/15/2020,6,100,12,2,4
3/22/2020,12,76,9,5,0
3/29/2020,6,57,6,2,2
4/5/2020,5,55,4,4,2
4/12/2020,3,35,2,2,0
4/19/2020,3,40,4,2,0
4/26/2020,3,27,4,0,0
5/3/2020,3,26,3,3,0
5/10/2020,2,31,2,0,0
5/17/2020,2,28,3,0,0
5/24/2020,0,30,0,2,0
5/31/2020,3,22,3,0,0
6/7/2020,2,22,4,2,2
6/14/2020,2,37,15,4,0
6/21/2020,2,40,12,2,0
6/28/2020,2,29,6,2,0
7/5/2020,2,38,9,4,0
7/12/2020,3,45,9,2,0
7/19/2020,4,31,17,3,0
7/26/2020,2,40,9,2,0
8/2/2020,0,38,8,2,0
8/9/2020,2,36,4,2,0
8/16/2020,0,39,6,2,0
8/23/2020,2,25,2,2,0
8/30/2020,0,27,3,5,2
9/6/2020,4,32,4,0,0
9/13/2020,2,33,3,2,0
9/20/2020,4,43,5,5,0
9/27/2020,4,32,7,3,0
10/4/2020,4,32,3,2,0
10/11/2020,4,33,6,2,0
10/18/2020,2,32,4,5,0
10/25/2020,2,38,5,4,0
11/1/2020,2,24,2,8,0
11/8/2020,10,37,8,0,0
