Week,dry cough: (Illinois),fever: (Illinois),COVID-19 symptoms: (Illinois),loss of smell: (Illinois),coronavirus testing center: (Illinois)
11/17/2019,2,36,0,<1,0
11/24/2019,2,34,0,<1,0
12/1/2019,3,35,0,<1,0
12/8/2019,2,37,0,<1,0
12/15/2019,2,42,0,<1,0
12/22/2019,3,50,0,0,0
12/29/2019,3,47,0,1,0
1/5/2020,3,39,0,<1,0
1/12/2020,2,43,0,1,0
1/19/2020,2,53,0,1,0
1/26/2020,2,53,0,0,0
2/2/2020,2,59,0,1,0
2/9/2020,4,54,<1,<1,0
2/16/2020,2,53,<1,<1,0
2/23/2020,3,49,1,<1,0
3/1/2020,4,55,1,<1,<1
3/8/2020,10,70,6,<1,<1
3/15/2020,15,100,12,1,1
3/22/2020,13,89,7,5,1
3/29/2020,10,70,7,3,<1
4/5/2020,5,60,5,1,<1
4/12/2020,5,50,3,2,1
4/19/2020,3,46,3,1,1
4/26/2020,3,39,2,1,<1
5/3/2020,3,37,2,1,<1
5/10/2020,2,36,3,1,1
5/17/2020,1,32,2,1,<1
5/24/2020,1,34,3,2,<1
5/31/2020,1,29,2,1,1
6/7/2020,2,32,2,1,<1
6/14/2020,2,29,7,1,<1
6/21/2020,2,33,7,1,1
6/28/2020,1,35,4,1,1
7/5/2020,2,38,5,2,1
7/12/2020,2,36,8,1,<1
7/19/2020,3,35,13,1,1
7/26/2020,1,35,8,2,<1
8/2/2020,2,35,7,1,<1
8/9/2020,2,36,3,1,1
8/16/2020,1,32,4,1,<1
8/23/2020,2,35,4,1,1
8/30/2020,1,32,3,1,<1
9/6/2020,1,32,3,1,1
9/13/2020,1,30,3,2,<1
9/20/2020,2,31,2,1,0
9/27/2020,2,33,3,1,<1
10/4/2020,2,35,4,2,<1
10/11/2020,2,35,3,2,0
10/18/2020,3,37,3,2,<1
10/25/2020,2,41,4,2,<1
11/1/2020,1,35,3,2,<1
11/8/2020,3,46,6,6,1
