Week,dry cough: (India),fever: (India),COVID-19 symptoms: (India),loss of smell: (India),coronavirus testing center: (India)
11/17/2019,5,69,0,<1,0
11/24/2019,5,65,0,<1,0
12/1/2019,4,56,0,<1,0
12/8/2019,6,56,0,<1,0
12/15/2019,5,51,0,<1,0
12/22/2019,5,44,0,<1,0
12/29/2019,5,43,0,<1,0
1/5/2020,5,48,0,<1,0
1/12/2020,5,48,0,<1,0
1/19/2020,6,50,0,<1,0
1/26/2020,6,54,0,<1,0
2/2/2020,6,57,0,<1,<1
2/9/2020,7,56,0,<1,0
2/16/2020,8,58,<1,<1,0
2/23/2020,6,56,<1,<1,<1
3/1/2020,9,62,1,<1,<1
3/8/2020,11,67,1,<1,<1
3/15/2020,19,87,4,<1,<1
3/22/2020,27,100,4,1,<1
3/29/2020,16,73,3,<1,<1
4/5/2020,12,62,2,1,<1
4/12/2020,10,62,1,<1,0
4/19/2020,8,59,2,<1,<1
4/26/2020,7,57,2,<1,<1
5/3/2020,6,62,2,1,0
5/10/2020,5,61,3,<1,<1
5/17/2020,5,62,2,1,<1
5/24/2020,6,66,3,1,<1
5/31/2020,5,72,3,2,<1
6/7/2020,7,76,5,2,<1
6/14/2020,6,71,5,2,<1
6/21/2020,6,74,5,3,<1
6/28/2020,7,77,5,3,<1
7/5/2020,7,84,4,4,<1
7/12/2020,9,91,6,5,<1
7/19/2020,8,90,10,5,0
7/26/2020,8,85,6,5,<1
8/2/2020,8,83,6,4,<1
8/9/2020,6,81,3,4,<1
8/16/2020,6,83,3,4,<1
8/23/2020,6,89,3,5,<1
8/30/2020,7,93,3,6,<1
9/6/2020,8,91,3,6,<1
9/13/2020,8,92,5,6,<1
9/20/2020,7,83,3,5,<1
9/27/2020,7,90,2,4,<1
10/4/2020,7,75,2,4,0
10/11/2020,6,69,2,3,0
10/18/2020,6,66,1,2,0
10/25/2020,6,66,1,3,0
11/1/2020,7,65,1,3,0
11/8/2020,7,68,2,3,0
