Week,dry cough: (Indiana),fever: (Indiana),COVID-19 symptoms: (Indiana),loss of smell: (Indiana),coronavirus testing center: (Indiana)
11/17/2019,3,31,0,0,0
11/24/2019,3,37,0,1,0
12/1/2019,1,33,0,0,0
12/8/2019,2,46,0,0,0
12/15/2019,1,41,0,0,0
12/22/2019,1,56,0,1,0
12/29/2019,3,47,0,0,0
1/5/2020,2,32,0,0,0
1/12/2020,3,42,0,1,0
1/19/2020,2,40,0,1,0
1/26/2020,2,47,0,0,0
2/2/2020,3,46,0,1,0
2/9/2020,2,51,0,0,0
2/16/2020,2,51,0,1,0
2/23/2020,2,45,1,0,0
3/1/2020,2,48,1,1,0
3/8/2020,6,61,8,1,1
3/15/2020,15,100,11,0,1
3/22/2020,9,82,10,2,0
3/29/2020,6,68,5,2,0
4/5/2020,6,54,5,2,0
4/12/2020,5,44,3,1,0
4/19/2020,1,41,2,1,0
4/26/2020,3,34,2,2,<1
5/3/2020,1,25,3,<1,0
5/10/2020,1,31,2,1,<1
5/17/2020,1,34,2,1,0
5/24/2020,1,33,2,1,0
5/31/2020,1,28,2,0,0
6/7/2020,1,26,2,1,0
6/14/2020,2,28,5,1,0
6/21/2020,1,32,9,1,0
6/28/2020,1,36,3,1,1
7/5/2020,2,42,3,1,0
7/12/2020,1,36,8,1,0
7/19/2020,2,47,13,1,1
7/26/2020,1,44,8,3,1
8/2/2020,1,37,5,0,0
8/9/2020,2,37,4,2,0
8/16/2020,2,35,4,1,0
8/23/2020,<1,40,3,1,<1
8/30/2020,2,34,3,1,0
9/6/2020,1,33,4,1,0
9/13/2020,1,34,2,1,0
9/20/2020,2,28,3,2,0
9/27/2020,1,27,4,1,0
10/4/2020,2,37,3,1,0
10/11/2020,2,40,4,2,0
10/18/2020,2,33,4,3,0
10/25/2020,3,37,4,2,0
11/1/2020,2,28,3,1,0
11/8/2020,1,41,6,6,0
