Week,dry cough: (Indonesia),fever: (Indonesia),COVID-19 symptoms: (Indonesia),loss of smell: (Indonesia),coronavirus testing center: (Indonesia)
11/17/2019,1,80,0,0,0
11/24/2019,1,78,0,0,0
12/1/2019,0,82,0,0,0
12/8/2019,1,88,0,0,0
12/15/2019,1,93,0,0,0
12/22/2019,0,85,0,0,0
12/29/2019,1,78,0,0,0
1/5/2020,3,94,0,0,0
1/12/2020,1,88,0,0,0
1/19/2020,1,95,0,0,0
1/26/2020,1,77,0,0,0
2/2/2020,1,85,0,0,0
2/9/2020,0,94,0,1,0
2/16/2020,1,76,0,0,0
2/23/2020,1,77,2,0,0
3/1/2020,2,89,2,1,0
3/8/2020,3,100,3,2,0
3/15/2020,3,88,5,0,0
3/22/2020,4,88,3,1,0
3/29/2020,2,78,4,1,0
4/5/2020,1,57,2,1,0
4/12/2020,1,76,2,0,0
4/19/2020,1,81,0,0,0
4/26/2020,2,82,2,0,0
5/3/2020,1,81,1,0,0
5/10/2020,2,69,2,0,0
5/17/2020,0,75,1,0,0
5/24/2020,1,71,1,0,0
5/31/2020,2,59,2,0,0
6/7/2020,2,71,2,0,0
6/14/2020,1,65,1,0,0
6/21/2020,3,64,0,0,0
6/28/2020,1,61,1,0,0
7/5/2020,1,56,1,0,0
7/12/2020,1,58,0,1,0
7/19/2020,1,53,1,1,0
7/26/2020,1,52,0,1,0
8/2/2020,1,55,0,0,0
8/9/2020,1,52,1,0,0
8/16/2020,2,50,1,1,0
8/23/2020,2,66,0,0,0
8/30/2020,1,51,1,2,0
9/6/2020,1,57,2,0,0
9/13/2020,0,48,1,1,0
9/20/2020,1,54,1,2,0
9/27/2020,1,47,1,0,0
10/4/2020,1,52,2,0,0
10/11/2020,1,52,0,0,0
10/18/2020,0,54,1,1,0
10/25/2020,1,46,0,0,0
11/1/2020,0,44,1,0,0
11/8/2020,2,52,2,0,0
