Week,dry cough: (Iowa),fever: (Iowa),COVID-19 symptoms: (Iowa),loss of smell: (Iowa),coronavirus testing center: (Iowa)
11/17/2019,3,36,0,0,0
11/24/2019,2,31,0,1,0
12/1/2019,3,37,0,0,0
12/8/2019,3,31,0,0,0
12/15/2019,5,37,0,1,0
12/22/2019,3,44,0,0,0
12/29/2019,4,47,0,1,0
1/5/2020,2,42,0,1,0
1/12/2020,4,45,0,0,0
1/19/2020,5,35,0,0,0
1/26/2020,1,49,0,0,0
2/2/2020,2,60,0,0,0
2/9/2020,3,62,0,0,0
2/16/2020,3,62,0,0,0
2/23/2020,1,65,0,0,0
3/1/2020,3,46,0,1,0
3/8/2020,6,79,6,0,1
3/15/2020,14,100,10,1,0
3/22/2020,17,89,9,3,0
3/29/2020,5,68,7,0,0
4/5/2020,6,65,6,2,0
4/12/2020,4,47,3,0,1
4/19/2020,2,33,3,1,1
4/26/2020,2,33,3,1,0
5/3/2020,2,33,4,1,1
5/10/2020,4,41,4,4,0
5/17/2020,0,39,3,1,0
5/24/2020,2,34,4,0,0
5/31/2020,1,34,0,2,1
6/7/2020,1,38,2,1,0
6/14/2020,2,39,7,2,0
6/21/2020,3,41,11,0,0
6/28/2020,2,47,11,4,2
7/5/2020,3,34,7,7,1
7/12/2020,3,45,7,3,0
7/19/2020,3,34,16,1,0
7/26/2020,2,44,12,4,0
8/2/2020,6,37,3,2,1
8/9/2020,3,31,3,1,0
8/16/2020,3,32,4,2,0
8/23/2020,2,38,5,1,0
8/30/2020,2,34,5,3,0
9/6/2020,2,31,5,1,0
9/13/2020,2,36,4,2,0
9/20/2020,3,43,4,2,0
9/27/2020,3,31,3,3,0
10/4/2020,3,43,4,2,0
10/11/2020,3,30,3,4,1
10/18/2020,2,43,4,3,0
10/25/2020,4,33,5,3,0
11/1/2020,1,41,2,4,0
11/8/2020,6,36,12,12,0
