Week,dry cough: (Iraq),fever: (Iraq),COVID-19 symptoms: (Iraq),loss of smell: (Iraq),coronavirus testing center: (Iraq)
11/17/2019,0,60,0,0,0
11/24/2019,0,62,0,0,0
12/1/2019,18,60,0,0,0
12/8/2019,18,62,0,0,0
12/15/2019,11,53,0,0,0
12/22/2019,12,46,0,0,0
12/29/2019,23,54,0,0,0
1/5/2020,23,49,0,0,0
1/12/2020,11,60,0,0,0
1/19/2020,11,43,0,0,0
1/26/2020,23,46,0,0,0
2/2/2020,11,69,0,0,0
2/9/2020,10,36,0,0,0
2/16/2020,15,72,0,10,0
2/23/2020,10,59,10,0,0
3/1/2020,10,50,0,0,0
3/8/2020,15,39,0,0,0
3/15/2020,19,75,0,0,0
3/22/2020,9,55,9,0,0
3/29/2020,18,39,0,0,0
4/5/2020,9,58,0,0,0
4/12/2020,10,79,0,0,0
4/19/2020,0,41,0,0,0
4/26/2020,0,49,0,0,0
5/3/2020,11,43,11,0,0
5/10/2020,11,53,0,0,0
5/17/2020,12,51,0,0,0
5/24/2020,10,49,0,0,0
5/31/2020,10,39,10,0,0
6/7/2020,9,86,9,0,0
6/14/2020,9,70,9,0,0
6/21/2020,9,71,18,9,0
6/28/2020,9,98,0,0,0
7/5/2020,9,77,9,0,0
7/12/2020,10,67,10,0,0
7/19/2020,10,69,0,0,0
7/26/2020,10,100,0,10,0
8/2/2020,19,69,9,9,0
8/9/2020,9,94,9,0,0
8/16/2020,10,75,0,10,0
8/23/2020,0,78,0,10,0
8/30/2020,20,66,0,10,0
9/6/2020,20,46,0,10,0
9/13/2020,10,66,10,10,0
9/20/2020,13,73,10,10,0
9/27/2020,10,28,0,10,0
10/4/2020,0,44,0,26,0
10/11/2020,10,60,0,0,0
10/18/2020,0,46,0,10,0
10/25/2020,10,23,0,10,0
11/1/2020,10,38,10,10,0
11/8/2020,22,33,0,0,0
