Week,dry cough: (Ireland),fever: (Ireland),COVID-19 symptoms: (Ireland),loss of smell: (Ireland),coronavirus testing center: (Ireland)
11/17/2019,6,24,0,1,0
11/24/2019,3,29,0,1,0
12/1/2019,4,34,0,2,0
12/8/2019,7,42,0,1,0
12/15/2019,8,52,0,0,0
12/22/2019,9,44,0,1,0
12/29/2019,9,27,0,1,0
1/5/2020,5,28,0,1,0
1/12/2020,3,27,0,0,0
1/19/2020,5,34,0,1,0
1/26/2020,4,34,0,0,0
2/2/2020,4,27,0,1,0
2/9/2020,5,27,1,1,0
2/16/2020,3,24,0,2,0
2/23/2020,3,33,2,1,0
3/1/2020,9,48,1,2,0
3/8/2020,18,86,5,1,0
3/15/2020,21,100,4,2,2
3/22/2020,12,83,3,6,1
3/29/2020,11,45,2,5,0
4/5/2020,4,51,3,1,0
4/12/2020,5,48,2,1,0
4/19/2020,3,42,1,1,0
4/26/2020,2,38,1,1,0
5/3/2020,4,36,2,1,1
5/10/2020,2,36,1,1,0
5/17/2020,2,34,1,2,0
5/24/2020,2,37,1,2,0
5/31/2020,3,49,1,1,0
6/7/2020,2,31,2,1,1
6/14/2020,3,34,5,1,1
6/21/2020,2,31,4,1,0
6/28/2020,2,28,3,1,0
7/5/2020,3,26,2,1,0
7/12/2020,3,27,3,1,0
7/19/2020,2,28,7,1,0
7/26/2020,3,27,9,1,0
8/2/2020,3,27,9,1,0
8/9/2020,4,29,4,0,1
8/16/2020,4,27,6,2,0
8/23/2020,3,24,4,2,0
8/30/2020,3,29,11,1,1
9/6/2020,6,36,16,2,1
9/13/2020,5,34,23,1,0
9/20/2020,6,25,17,2,1
9/27/2020,6,21,11,1,0
10/4/2020,3,27,4,1,0
10/11/2020,5,23,6,1,0
10/18/2020,2,20,4,1,0
10/25/2020,2,22,3,1,1
11/1/2020,1,15,1,1,0
11/8/2020,3,14,2,2,0
