Week,dry cough: (Israel),fever: (Israel),COVID-19 symptoms: (Israel),loss of smell: (Israel),coronavirus testing center: (Israel)
11/17/2019,0,46,0,6,0
11/24/2019,6,44,0,0,0
12/1/2019,0,60,0,0,0
12/8/2019,6,73,0,0,0
12/15/2019,12,68,0,0,0
12/22/2019,6,54,0,0,0
12/29/2019,18,59,0,0,0
1/5/2020,6,69,0,0,0
1/12/2020,6,65,0,0,0
1/19/2020,0,59,0,0,0
1/26/2020,6,59,0,0,0
2/2/2020,9,60,0,0,0
2/9/2020,0,54,0,0,0
2/16/2020,9,60,0,0,0
2/23/2020,0,57,0,0,0
3/1/2020,0,74,6,0,0
3/8/2020,23,83,6,0,0
3/15/2020,9,100,5,5,0
3/22/2020,0,83,9,5,0
3/29/2020,5,60,11,5,0
4/5/2020,9,65,6,0,0
4/12/2020,6,50,6,6,0
4/19/2020,11,56,0,0,0
4/26/2020,6,50,0,0,0
5/3/2020,0,45,5,0,0
5/10/2020,6,57,8,0,0
5/17/2020,6,71,0,6,0
5/24/2020,0,38,6,0,0
5/31/2020,5,54,5,0,0
6/7/2020,5,61,5,0,0
6/14/2020,6,59,6,0,0
6/21/2020,0,28,0,0,0
6/28/2020,11,39,0,0,0
7/5/2020,0,39,6,0,0
7/12/2020,6,43,6,0,0
7/19/2020,6,42,6,6,0
7/26/2020,6,58,6,6,0
8/2/2020,0,54,0,0,0
8/9/2020,6,39,6,0,0
8/16/2020,6,51,6,6,0
8/23/2020,0,44,6,0,0
8/30/2020,0,33,6,6,0
9/6/2020,0,52,6,6,0
9/13/2020,11,65,11,12,0
9/20/2020,0,64,7,11,0
9/27/2020,0,42,12,0,0
10/4/2020,0,41,6,0,0
10/11/2020,0,34,0,0,0
10/18/2020,6,34,6,6,0
10/25/2020,6,42,0,12,0
11/1/2020,6,44,12,0,0
11/8/2020,0,21,0,0,0
