Week,dry cough: (Italy),fever: (Italy),COVID-19 symptoms: (Italy),loss of smell: (Italy),coronavirus testing center: (Italy)
11/17/2019,2,75,0,2,0
11/24/2019,2,67,0,0,0
12/1/2019,0,72,0,0,0
12/8/2019,2,75,0,0,0
12/15/2019,2,71,0,0,0
12/22/2019,3,71,0,0,0
12/29/2019,2,87,0,0,0
1/5/2020,3,72,0,0,0
1/12/2020,2,76,0,2,0
1/19/2020,3,84,0,0,0
1/26/2020,4,85,0,0,0
2/2/2020,0,73,0,0,0
2/9/2020,4,69,0,0,0
2/16/2020,2,74,0,0,0
2/23/2020,6,95,4,0,0
3/1/2020,5,83,3,2,0
3/8/2020,4,84,4,0,0
3/15/2020,8,92,2,4,0
3/22/2020,4,100,5,5,0
3/29/2020,4,90,2,2,0
4/5/2020,3,87,2,2,0
4/12/2020,3,83,2,2,0
4/19/2020,2,87,2,0,0
4/26/2020,2,89,0,0,0
5/3/2020,2,71,0,0,0
5/10/2020,0,69,2,2,0
5/17/2020,2,75,2,0,0
5/24/2020,2,69,2,2,0
5/31/2020,2,77,2,0,0
6/7/2020,4,58,0,0,0
6/14/2020,0,59,2,0,0
6/21/2020,0,70,2,0,0
6/28/2020,0,58,2,2,0
7/5/2020,0,72,4,0,0
7/12/2020,2,66,0,0,0
7/19/2020,2,54,2,0,0
7/26/2020,2,63,2,0,0
8/2/2020,2,56,2,0,0
8/9/2020,4,78,2,0,0
8/16/2020,2,64,0,0,0
8/23/2020,2,71,3,0,0
8/30/2020,2,66,0,3,0
9/6/2020,0,80,2,0,0
9/13/2020,2,69,2,0,0
9/20/2020,4,64,3,2,0
9/27/2020,3,48,0,2,0
10/4/2020,2,74,2,2,0
10/11/2020,2,72,5,0,0
10/18/2020,0,64,4,0,0
10/25/2020,4,78,2,2,0
11/1/2020,0,74,2,0,0
11/8/2020,0,83,5,5,0
