Week,dry cough: (Jamaica),fever: (Jamaica),COVID-19 symptoms: (Jamaica),loss of smell: (Jamaica),coronavirus testing center: (Jamaica)
11/17/2019,5,60,0,0,0
11/24/2019,5,44,0,0,0
12/1/2019,9,57,0,0,0
12/8/2019,7,77,0,0,0
12/15/2019,5,57,0,0,0
12/22/2019,5,66,0,0,0
12/29/2019,5,47,0,0,0
1/5/2020,4,46,0,4,0
1/12/2020,13,47,0,0,0
1/19/2020,4,62,0,0,0
1/26/2020,6,48,0,0,0
2/2/2020,0,43,0,0,0
2/9/2020,4,46,0,0,0
2/16/2020,6,45,0,0,0
2/23/2020,4,33,0,0,0
3/1/2020,6,40,0,0,0
3/8/2020,17,68,4,0,0
3/15/2020,24,65,6,0,0
3/22/2020,16,59,6,4,0
3/29/2020,4,100,4,8,0
4/5/2020,4,60,6,0,0
4/12/2020,4,65,4,0,0
4/19/2020,0,48,0,0,0
4/26/2020,12,52,0,0,0
5/3/2020,6,38,6,0,0
5/10/2020,0,41,4,0,0
5/17/2020,0,30,8,0,0
5/24/2020,0,29,4,4,0
5/31/2020,6,45,8,0,0
6/7/2020,4,27,4,0,0
6/14/2020,4,36,0,0,0
6/21/2020,0,24,4,0,0
6/28/2020,4,22,4,0,0
7/5/2020,4,29,4,0,0
7/12/2020,8,38,4,0,0
7/19/2020,4,33,4,0,0
7/26/2020,4,31,13,0,0
8/2/2020,4,41,6,0,0
8/9/2020,4,31,4,0,0
8/16/2020,0,41,4,4,0
8/23/2020,0,58,6,4,0
8/30/2020,4,39,14,4,0
9/6/2020,6,48,15,4,0
9/13/2020,4,35,13,4,0
9/20/2020,5,38,14,0,0
9/27/2020,0,43,13,5,0
10/4/2020,4,32,5,0,0
10/11/2020,4,45,6,4,0
10/18/2020,4,25,4,4,0
10/25/2020,4,35,4,4,0
11/1/2020,0,18,3,0,0
11/8/2020,0,34,0,0,0
