Week,dry cough: (Japan),fever: (Japan),COVID-19 symptoms: (Japan),loss of smell: (Japan),coronavirus testing center: (Japan)
11/17/2019,2,74,0,0,0
11/24/2019,2,75,0,0,0
12/1/2019,3,87,0,0,0
12/8/2019,3,85,0,0,0
12/15/2019,0,60,0,0,0
12/22/2019,0,67,0,0,0
12/29/2019,3,67,0,0,0
1/5/2020,2,73,0,0,0
1/12/2020,3,68,0,0,0
1/19/2020,2,76,0,0,0
1/26/2020,2,90,0,0,0
2/2/2020,2,96,0,0,0
2/9/2020,2,84,0,0,0
2/16/2020,2,100,4,0,0
2/23/2020,3,94,6,0,0
3/1/2020,2,96,0,0,0
3/8/2020,3,99,0,0,0
3/15/2020,7,85,3,2,0
3/22/2020,8,86,10,4,0
3/29/2020,5,78,3,2,0
4/5/2020,5,89,3,0,0
4/12/2020,6,65,5,0,0
4/19/2020,2,68,3,2,0
4/26/2020,2,68,4,2,0
5/3/2020,0,62,3,0,0
5/10/2020,3,52,4,0,0
5/17/2020,2,57,0,2,0
5/24/2020,4,45,2,0,0
5/31/2020,5,66,4,2,0
6/7/2020,0,57,4,0,0
6/14/2020,2,60,2,0,0
6/21/2020,2,64,2,2,0
6/28/2020,4,68,2,0,0
7/5/2020,4,62,2,2,0
7/12/2020,2,60,2,0,0
7/19/2020,0,52,6,0,0
7/26/2020,2,62,2,0,0
8/2/2020,2,51,2,2,0
8/9/2020,2,47,2,0,0
8/16/2020,2,37,0,0,0
8/23/2020,0,45,0,0,0
8/30/2020,0,54,2,2,0
9/6/2020,0,53,0,0,0
9/13/2020,2,44,0,2,0
9/20/2020,3,43,2,0,0
9/27/2020,0,52,3,2,0
10/4/2020,0,58,0,0,0
10/11/2020,0,49,2,5,0
10/18/2020,0,36,2,2,0
10/25/2020,2,45,4,2,0
11/1/2020,3,39,2,0,0
11/8/2020,5,50,0,0,0
