Week,dry cough: (Jersey),fever: (Jersey),COVID-19 symptoms: (Jersey),loss of smell: (Jersey),coronavirus testing center: (Jersey)
11/17/2019,0,58,0,0,0
11/24/2019,0,68,0,0,0
12/1/2019,36,36,0,0,0
12/8/2019,0,68,0,0,0
12/15/2019,35,47,0,0,0
12/22/2019,0,80,0,0,0
12/29/2019,0,52,0,0,0
1/5/2020,0,32,0,0,0
1/12/2020,0,32,0,0,0
1/19/2020,33,44,0,0,0
1/26/2020,0,79,0,0,0
2/2/2020,0,54,0,0,0
2/9/2020,31,31,0,0,0
2/16/2020,33,64,0,0,0
2/23/2020,31,42,0,0,0
3/1/2020,0,42,0,0,0
3/8/2020,0,95,0,0,0
3/15/2020,0,100,30,0,0
3/22/2020,37,93,0,28,0
3/29/2020,28,47,55,28,0
4/5/2020,0,78,0,0,0
4/12/2020,28,57,0,0,0
4/19/2020,0,27,28,0,0
4/26/2020,26,35,0,0,0
5/3/2020,0,38,0,0,0
5/10/2020,0,56,28,0,0
5/17/2020,0,44,0,0,0
5/24/2020,0,62,0,0,0
5/31/2020,0,69,0,0,0
6/7/2020,0,81,0,0,0
6/14/2020,0,28,0,0,0
6/21/2020,0,75,30,0,0
6/28/2020,0,28,0,28,0
7/5/2020,30,30,0,0,0
7/12/2020,0,47,0,0,0
7/19/2020,31,93,0,0,0
7/26/2020,0,41,0,0,0
8/2/2020,0,0,0,0,0
8/9/2020,0,49,0,0,0
8/16/2020,0,30,0,0,0
8/23/2020,29,29,0,0,0
8/30/2020,0,31,0,0,0
9/6/2020,0,52,0,0,0
9/13/2020,0,61,0,0,0
9/20/2020,0,62,0,0,0
9/27/2020,0,31,0,0,0
10/4/2020,30,31,0,0,0
10/11/2020,0,65,0,0,0
10/18/2020,0,32,0,0,0
10/25/2020,0,32,0,0,0
11/1/2020,32,0,0,0,0
11/8/2020,0,0,0,0,0
