Week,dry cough: (Jordan),fever: (Jordan),COVID-19 symptoms: (Jordan),loss of smell: (Jordan),coronavirus testing center: (Jordan)
11/17/2019,14,40,0,0,0
11/24/2019,0,59,0,0,0
12/1/2019,13,100,0,0,0
12/8/2019,12,38,0,0,0
12/15/2019,13,63,0,0,0
12/22/2019,12,56,0,0,0
12/29/2019,0,57,0,0,0
1/5/2020,0,84,0,0,0
1/12/2020,12,84,0,0,0
1/19/2020,0,49,0,0,0
1/26/2020,0,50,0,0,0
2/2/2020,12,48,0,0,0
2/9/2020,0,67,0,0,0
2/16/2020,0,30,0,0,0
2/23/2020,0,83,12,0,0
3/1/2020,0,84,0,12,0
3/8/2020,0,52,0,0,0
3/15/2020,11,79,0,0,0
3/22/2020,17,72,0,11,0
3/29/2020,0,53,0,0,0
4/5/2020,10,41,20,0,0
4/12/2020,10,55,0,0,0
4/19/2020,0,42,11,0,0
4/26/2020,23,40,0,0,0
5/3/2020,11,39,0,0,0
5/10/2020,0,11,0,0,0
5/17/2020,0,36,0,0,0
5/24/2020,0,47,0,0,0
5/31/2020,11,33,0,0,0
6/7/2020,0,56,0,0,0
6/14/2020,12,41,0,0,0
6/21/2020,0,30,0,0,0
6/28/2020,0,60,0,0,0
7/5/2020,12,49,0,0,0
7/12/2020,12,12,0,0,0
7/19/2020,0,31,0,0,0
7/26/2020,13,20,0,0,0
8/2/2020,0,13,0,0,0
8/9/2020,0,29,0,0,0
8/16/2020,0,36,0,0,0
8/23/2020,0,41,0,0,0
8/30/2020,0,29,0,0,0
9/6/2020,12,29,0,0,0
9/13/2020,0,72,0,0,0
9/20/2020,0,35,0,0,0
9/27/2020,0,55,10,10,0
10/4/2020,10,85,10,10,0
10/11/2020,10,64,0,10,0
10/18/2020,0,44,10,0,0
10/25/2020,10,50,0,10,0
11/1/2020,0,43,0,10,0
11/8/2020,0,62,0,0,0
