Week,dry cough: (Kansas),fever: (Kansas),COVID-19 symptoms: (Kansas),loss of smell: (Kansas),coronavirus testing center: (Kansas)
11/17/2019,3,35,0,0,0
11/24/2019,3,31,0,0,0
12/1/2019,3,36,0,0,0
12/8/2019,5,45,0,0,0
12/15/2019,3,39,0,0,0
12/22/2019,5,65,0,2,0
12/29/2019,2,58,0,3,0
1/5/2020,2,50,0,0,0
1/12/2020,2,48,0,0,0
1/19/2020,6,47,0,0,0
1/26/2020,3,61,0,0,0
2/2/2020,2,47,0,0,0
2/9/2020,4,63,0,2,0
2/16/2020,5,62,0,0,0
2/23/2020,4,59,2,2,0
3/1/2020,4,57,6,0,0
3/8/2020,12,76,5,0,2
3/15/2020,15,100,9,2,2
3/22/2020,14,91,10,2,0
3/29/2020,8,83,10,1,0
4/5/2020,6,57,7,0,0
4/12/2020,2,41,3,2,1
4/19/2020,1,36,3,0,1
4/26/2020,1,38,3,0,1
5/3/2020,1,27,3,1,0
5/10/2020,1,41,3,1,0
5/17/2020,6,31,1,0,0
5/24/2020,3,35,1,0,0
5/31/2020,1,33,5,3,0
6/7/2020,2,33,5,0,2
6/14/2020,2,31,10,3,0
6/21/2020,2,35,14,2,2
6/28/2020,2,40,7,0,0
7/5/2020,4,47,9,2,2
7/12/2020,3,39,10,2,0
7/19/2020,4,55,20,2,0
7/26/2020,2,46,13,2,0
8/2/2020,2,50,6,2,0
8/9/2020,2,39,7,3,0
8/16/2020,2,35,7,0,0
8/23/2020,3,30,6,0,0
8/30/2020,4,38,8,3,0
9/6/2020,3,35,3,2,0
9/13/2020,3,36,3,2,0
9/20/2020,2,30,2,0,2
9/27/2020,2,38,4,2,0
10/4/2020,2,49,2,0,0
10/11/2020,0,39,4,2,2
10/18/2020,5,36,4,4,0
10/25/2020,0,45,4,2,0
11/1/2020,3,29,2,4,1
11/8/2020,4,52,8,10,0
