Week,dry cough: (Kentucky),fever: (Kentucky),COVID-19 symptoms: (Kentucky),loss of smell: (Kentucky),coronavirus testing center: (Kentucky)
11/17/2019,2,38,0,1,0
11/24/2019,3,43,0,0,0
12/1/2019,2,44,0,1,0
12/8/2019,4,55,0,2,0
12/15/2019,3,53,0,0,0
12/22/2019,4,65,0,1,0
12/29/2019,2,52,0,1,0
1/5/2020,2,44,0,0,0
1/12/2020,3,77,0,1,0
1/19/2020,2,52,0,1,0
1/26/2020,3,60,0,0,0
2/2/2020,3,73,0,1,0
2/9/2020,3,55,0,0,0
2/16/2020,5,61,0,0,0
2/23/2020,2,59,1,0,0
3/1/2020,3,59,2,0,0
3/8/2020,10,88,8,0,0
3/15/2020,11,100,9,0,1
3/22/2020,9,93,8,4,2
3/29/2020,5,72,8,2,0
4/5/2020,8,60,5,2,1
4/12/2020,5,50,4,1,1
4/19/2020,1,45,5,1,1
4/26/2020,2,40,2,2,1
5/3/2020,3,43,1,1,1
5/10/2020,1,40,2,1,1
5/17/2020,2,38,2,1,1
5/24/2020,1,35,2,2,1
5/31/2020,2,37,4,0,0
6/7/2020,2,34,2,0,1
6/14/2020,2,34,8,1,0
6/21/2020,2,40,8,1,0
6/28/2020,2,33,4,2,0
7/5/2020,3,47,8,1,0
7/12/2020,3,45,6,2,1
7/19/2020,2,46,19,1,1
7/26/2020,3,44,10,3,0
8/2/2020,2,45,7,2,1
8/9/2020,1,40,4,1,1
8/16/2020,4,48,4,1,1
8/23/2020,1,36,2,2,1
8/30/2020,2,40,4,2,0
9/6/2020,2,37,5,1,0
9/13/2020,1,35,1,1,0
9/20/2020,2,32,3,1,0
9/27/2020,2,36,3,2,1
10/4/2020,3,47,4,0,0
10/11/2020,5,44,5,2,0
10/18/2020,2,45,5,1,0
10/25/2020,2,41,2,4,1
11/1/2020,2,38,4,1,1
11/8/2020,2,40,5,3,0
