Week,dry cough: (Kenya),fever: (Kenya),COVID-19 symptoms: (Kenya),loss of smell: (Kenya),coronavirus testing center: (Kenya)
11/17/2019,4,39,0,0,0
11/24/2019,13,47,0,0,0
12/1/2019,0,38,0,0,0
12/8/2019,2,39,0,2,0
12/15/2019,2,45,0,0,0
12/22/2019,4,43,0,0,0
12/29/2019,8,45,0,0,0
1/5/2020,6,55,0,0,0
1/12/2020,6,46,0,0,0
1/19/2020,4,58,0,0,0
1/26/2020,5,48,0,4,0
2/2/2020,11,51,0,0,0
2/9/2020,7,64,0,0,0
2/16/2020,9,56,0,0,0
2/23/2020,8,53,2,0,0
3/1/2020,8,44,2,0,0
3/8/2020,6,73,4,0,0
3/15/2020,18,100,37,0,0
3/22/2020,18,99,30,6,0
3/29/2020,19,75,7,0,0
4/5/2020,6,54,8,2,0
4/12/2020,9,52,0,0,0
4/19/2020,7,43,4,0,0
4/26/2020,10,55,4,2,0
5/3/2020,3,48,0,2,0
5/10/2020,6,56,3,4,0
5/17/2020,5,40,0,2,0
5/24/2020,2,40,0,2,0
5/31/2020,4,33,6,2,0
6/7/2020,4,45,2,2,0
6/14/2020,3,27,5,2,0
6/21/2020,3,30,3,2,0
6/28/2020,4,38,3,6,0
7/5/2020,4,32,2,5,0
7/12/2020,3,31,6,5,0
7/19/2020,5,45,27,9,0
7/26/2020,7,37,17,5,0
8/2/2020,4,41,10,5,0
8/9/2020,6,40,3,6,0
8/16/2020,4,32,2,2,0
8/23/2020,3,29,2,2,0
8/30/2020,3,35,4,2,0
9/6/2020,2,29,2,4,0
9/13/2020,7,24,0,3,0
9/20/2020,2,30,3,2,0
9/27/2020,2,19,0,3,0
10/4/2020,5,36,0,0,0
10/11/2020,5,33,2,5,0
10/18/2020,6,46,10,5,0
10/25/2020,9,42,11,10,0
11/1/2020,6,36,8,8,0
11/8/2020,8,37,12,12,0
