Week,dry cough: (Kuwait),fever: (Kuwait),COVID-19 symptoms: (Kuwait),loss of smell: (Kuwait),coronavirus testing center: (Kuwait)
11/17/2019,12,53,0,0,0
11/24/2019,21,56,0,0,0
12/1/2019,7,42,0,0,0
12/8/2019,7,45,0,0,0
12/15/2019,10,37,0,0,0
12/22/2019,7,54,0,0,0
12/29/2019,7,40,0,0,0
1/5/2020,0,38,0,0,0
1/12/2020,0,39,0,0,0
1/19/2020,7,36,0,0,0
1/26/2020,7,30,0,0,0
2/2/2020,7,42,0,0,0
2/9/2020,0,35,0,0,0
2/16/2020,7,45,0,0,0
2/23/2020,14,60,7,0,0
3/1/2020,9,65,0,0,0
3/8/2020,14,79,7,0,0
3/15/2020,21,99,7,0,0
3/22/2020,20,70,7,7,0
3/29/2020,10,63,0,0,0
4/5/2020,13,58,0,0,0
4/12/2020,9,77,7,0,0
4/19/2020,9,78,0,13,0
4/26/2020,10,62,7,13,0
5/3/2020,7,74,0,20,0
5/10/2020,14,100,17,14,0
5/17/2020,9,83,0,17,0
5/24/2020,7,86,0,0,0
5/31/2020,13,71,0,6,0
6/7/2020,16,55,9,7,0
6/14/2020,7,47,7,7,0
6/21/2020,17,52,7,7,0
6/28/2020,9,46,0,7,0
7/5/2020,7,62,7,7,0
7/12/2020,11,59,7,7,0
7/19/2020,7,33,7,0,0
7/26/2020,14,45,7,0,0
8/2/2020,14,38,14,0,0
8/9/2020,0,39,7,14,0
8/16/2020,11,40,7,0,0
8/23/2020,7,51,0,7,0
8/30/2020,7,55,7,7,0
9/6/2020,0,27,7,7,0
9/13/2020,0,14,0,7,0
9/20/2020,10,43,0,0,0
9/27/2020,7,18,0,7,0
10/4/2020,0,30,6,6,0
10/11/2020,7,43,0,10,0
10/18/2020,7,23,7,7,0
10/25/2020,14,41,7,0,0
11/1/2020,10,41,6,13,0
11/8/2020,0,39,0,29,0
