Week,dry cough: (Lebanon),fever: (Lebanon),COVID-19 symptoms: (Lebanon),loss of smell: (Lebanon),coronavirus testing center: (Lebanon)
11/17/2019,4,27,0,0,0
11/24/2019,0,14,0,0,0
12/1/2019,4,26,0,0,0
12/8/2019,4,12,0,0,0
12/15/2019,0,15,0,0,0
12/22/2019,0,26,0,0,0
12/29/2019,4,29,0,0,0
1/5/2020,6,25,0,0,0
1/12/2020,4,25,0,0,0
1/19/2020,8,34,0,0,0
1/26/2020,4,32,0,0,0
2/2/2020,4,21,0,0,0
2/9/2020,6,27,0,0,0
2/16/2020,4,36,0,4,0
2/23/2020,12,38,4,0,0
3/1/2020,4,50,4,0,0
3/8/2020,5,100,7,0,0
3/15/2020,8,59,4,4,0
3/22/2020,14,41,3,3,0
3/29/2020,0,39,0,0,0
4/5/2020,4,23,4,0,0
4/12/2020,0,31,0,0,0
4/19/2020,4,32,0,0,0
4/26/2020,0,9,4,0,0
5/3/2020,0,18,0,0,0
5/10/2020,0,18,0,0,0
5/17/2020,4,20,4,0,0
5/24/2020,0,20,0,0,0
5/31/2020,0,26,4,0,0
6/7/2020,4,23,0,0,0
6/14/2020,4,37,4,4,0
6/21/2020,6,24,4,0,0
6/28/2020,0,28,0,0,0
7/5/2020,4,16,4,0,0
7/12/2020,13,27,4,0,0
7/19/2020,4,40,7,0,0
7/26/2020,4,36,4,4,0
8/2/2020,0,25,4,0,0
8/9/2020,4,28,4,0,0
8/16/2020,4,38,4,0,0
8/23/2020,0,43,4,4,0
8/30/2020,0,25,8,4,0
9/6/2020,4,27,0,4,0
9/13/2020,8,34,4,0,0
9/20/2020,4,27,6,4,0
9/27/2020,6,32,0,4,0
10/4/2020,4,51,8,4,0
10/11/2020,4,30,4,8,0
10/18/2020,4,34,6,6,0
10/25/2020,4,39,4,6,0
11/1/2020,3,28,3,5,0
11/8/2020,8,45,0,8,0
