Week,dry cough: (Louisiana),fever: (Louisiana),COVID-19 symptoms: (Louisiana),loss of smell: (Louisiana),coronavirus testing center: (Louisiana)
11/17/2019,2,38,0,0,0
11/24/2019,3,27,0,0,0
12/1/2019,1,21,0,0,0
12/8/2019,2,27,0,0,0
12/15/2019,1,27,0,0,0
12/22/2019,3,31,0,0,0
12/29/2019,4,30,0,0,0
1/5/2020,1,23,0,0,0
1/12/2020,2,26,0,1,0
1/19/2020,1,28,0,0,0
1/26/2020,1,28,0,1,0
2/2/2020,2,35,0,1,0
2/9/2020,2,32,0,0,0
2/16/2020,2,31,0,0,0
2/23/2020,2,36,0,0,0
3/1/2020,1,40,1,0,0
3/8/2020,5,52,4,1,1
3/15/2020,8,85,5,1,1
3/22/2020,9,100,10,5,2
3/29/2020,7,72,5,2,2
4/5/2020,4,47,4,1,1
4/12/2020,1,31,1,0,0
4/19/2020,2,32,2,1,1
4/26/2020,2,33,2,1,1
5/3/2020,1,29,1,1,1
5/10/2020,1,27,1,0,0
5/17/2020,1,24,1,1,0
5/24/2020,2,22,1,1,0
5/31/2020,1,24,2,1,0
6/7/2020,1,22,1,1,0
6/14/2020,2,26,7,0,0
6/21/2020,2,28,6,2,0
6/28/2020,2,34,5,1,1
7/5/2020,1,32,4,2,1
7/12/2020,2,32,8,1,1
7/19/2020,2,35,10,3,0
7/26/2020,1,37,7,3,0
8/2/2020,1,28,5,1,0
8/9/2020,0,26,3,1,0
8/16/2020,2,24,3,1,1
8/23/2020,1,19,1,1,0
8/30/2020,1,25,1,2,0
9/6/2020,3,22,2,1,0
9/13/2020,1,19,1,1,0
9/20/2020,1,21,2,1,0
9/27/2020,1,20,1,2,0
10/4/2020,1,23,2,1,0
10/11/2020,1,27,2,1,0
10/18/2020,1,23,1,1,0
10/25/2020,1,21,2,1,0
11/1/2020,1,20,4,1,0
11/8/2020,0,24,3,2,0
