Week,dry cough: (Malawi),fever: (Malawi),COVID-19 symptoms: (Malawi),loss of smell: (Malawi),coronavirus testing center: (Malawi)
11/17/2019,34,51,0,0,0
11/24/2019,0,55,0,0,0
12/1/2019,32,32,0,0,0
12/8/2019,33,50,0,0,0
12/15/2019,0,100,0,0,0
12/22/2019,0,37,0,0,0
12/29/2019,0,36,0,0,0
1/5/2020,0,32,0,0,0
1/12/2020,0,63,0,0,0
1/19/2020,0,42,0,0,0
1/26/2020,0,42,0,0,0
2/2/2020,0,96,0,0,0
2/9/2020,0,100,0,0,0
2/16/2020,32,33,0,0,0
2/23/2020,0,54,0,0,0
3/1/2020,0,80,0,0,0
3/8/2020,47,94,0,0,0
3/15/2020,34,79,0,0,0
3/22/2020,0,68,34,0,0
3/29/2020,35,52,36,35,0
4/5/2020,35,69,35,0,0
4/12/2020,38,50,0,38,0
4/19/2020,0,69,34,0,0
4/26/2020,0,34,0,0,0
5/3/2020,35,59,0,0,0
5/10/2020,0,36,0,0,0
5/17/2020,0,0,0,0,0
5/24/2020,0,34,0,0,0
5/31/2020,0,61,0,0,0
6/7/2020,0,30,0,0,0
6/14/2020,0,94,0,0,0
6/21/2020,33,32,32,0,0
6/28/2020,0,47,0,0,0
7/5/2020,31,31,0,31,0
7/12/2020,0,46,0,32,0
7/19/2020,0,63,31,0,0
7/26/2020,0,31,0,0,0
8/2/2020,0,31,31,30,0
8/9/2020,0,32,0,0,0
8/16/2020,35,0,0,0,0
8/23/2020,29,29,0,0,0
8/30/2020,0,28,29,0,0
9/6/2020,0,29,0,0,0
9/13/2020,0,36,0,0,0
9/20/2020,25,74,0,0,0
9/27/2020,0,27,0,0,0
10/4/2020,0,29,0,0,0
10/11/2020,0,31,0,0,0
10/18/2020,0,31,0,0,0
10/25/2020,0,56,0,0,0
11/1/2020,0,36,27,0,0
11/8/2020,66,99,0,0,0
