Week,dry cough: (Maldives),fever: (Maldives),COVID-19 symptoms: (Maldives),loss of smell: (Maldives),coronavirus testing center: (Maldives)
11/17/2019,0,36,0,0,0
11/24/2019,0,61,0,0,0
12/1/2019,0,62,0,0,0
12/8/2019,0,65,0,0,0
12/15/2019,17,57,0,0,0
12/22/2019,0,35,0,0,0
12/29/2019,0,41,0,0,0
1/5/2020,16,22,0,0,0
1/12/2020,0,85,0,0,0
1/19/2020,0,22,0,0,0
1/26/2020,0,53,0,0,0
2/2/2020,0,15,0,0,0
2/9/2020,0,35,0,0,0
2/16/2020,15,72,0,0,0
2/23/2020,15,45,0,0,0
3/1/2020,30,40,0,0,0
3/8/2020,15,66,0,0,0
3/15/2020,23,50,0,0,0
3/22/2020,17,49,0,0,0
3/29/2020,17,73,0,0,0
4/5/2020,0,28,17,0,0
4/12/2020,18,54,18,0,0
4/19/2020,20,30,20,0,0
4/26/2020,21,56,0,0,0
5/3/2020,0,62,0,0,0
5/10/2020,0,63,0,0,0
5/17/2020,20,40,0,0,0
5/24/2020,20,51,0,0,0
5/31/2020,0,18,0,0,0
6/7/2020,0,40,0,0,0
6/14/2020,0,39,0,0,0
6/21/2020,20,33,20,0,0
6/28/2020,0,28,21,0,0
7/5/2020,0,46,20,0,0
7/12/2020,0,33,0,0,0
7/19/2020,0,20,20,0,0
7/26/2020,0,100,0,0,0
8/2/2020,0,37,19,0,0
8/9/2020,18,72,0,0,0
8/16/2020,0,63,0,0,0
8/23/2020,0,36,22,0,0
8/30/2020,0,23,0,0,0
9/6/2020,0,43,0,0,0
9/13/2020,22,35,0,0,0
9/20/2020,21,0,0,0,0
9/27/2020,0,45,0,0,0
10/4/2020,0,46,0,0,0
10/11/2020,0,18,0,0,0
10/18/2020,0,49,20,0,0
10/25/2020,0,28,0,0,0
11/1/2020,16,41,0,0,0
11/8/2020,0,40,39,0,0
