Week,dry cough: (Maryland),fever: (Maryland),COVID-19 symptoms: (Maryland),loss of smell: (Maryland),coronavirus testing center: (Maryland)
11/17/2019,4,34,0,1,0
11/24/2019,3,28,0,0,0
12/1/2019,2,36,0,0,0
12/8/2019,2,38,0,0,0
12/15/2019,2,39,0,1,0
12/22/2019,2,53,0,1,0
12/29/2019,4,49,0,1,0
1/5/2020,2,38,0,0,0
1/12/2020,3,37,0,0,0
1/19/2020,2,46,0,1,0
1/26/2020,3,43,0,0,0
2/2/2020,3,50,0,<1,0
2/9/2020,2,45,0,1,0
2/16/2020,3,43,1,0,0
2/23/2020,4,51,1,1,0
3/1/2020,3,50,2,0,<1
3/8/2020,9,72,4,0,1
3/15/2020,17,100,10,1,1
3/22/2020,10,83,7,5,1
3/29/2020,8,69,7,3,1
4/5/2020,5,58,5,2,0
4/12/2020,5,43,3,2,1
4/19/2020,2,42,3,2,<1
4/26/2020,2,39,4,1,<1
5/3/2020,2,38,2,1,1
5/10/2020,1,35,3,1,<1
5/17/2020,2,32,2,1,<1
5/24/2020,1,32,2,1,<1
5/31/2020,1,28,2,1,<1
6/7/2020,2,22,3,1,1
6/14/2020,2,28,4,0,<1
6/21/2020,1,30,8,1,0
6/28/2020,2,36,5,1,1
7/5/2020,3,37,5,1,1
7/12/2020,2,33,7,1,1
7/19/2020,1,39,13,2,1
7/26/2020,1,31,8,2,1
8/2/2020,1,33,5,1,1
8/9/2020,2,33,2,1,1
8/16/2020,1,32,3,1,1
8/23/2020,1,29,3,1,0
8/30/2020,1,30,3,1,1
9/6/2020,1,30,4,1,0
9/13/2020,2,27,3,1,<1
9/20/2020,2,26,2,<1,0
9/27/2020,2,29,2,1,0
10/4/2020,1,30,3,1,1
10/11/2020,1,29,2,1,0
10/18/2020,1,30,1,1,1
10/25/2020,2,28,2,1,1
11/1/2020,1,25,2,1,<1
11/8/2020,3,31,1,1,1
