Week,dry cough: (Massachusetts),fever: (Massachusetts),COVID-19 symptoms: (Massachusetts),loss of smell: (Massachusetts),coronavirus testing center: (Massachusetts)
11/17/2019,2,29,0,<1,0
11/24/2019,2,27,0,0,0
12/1/2019,1,25,0,<1,0
12/8/2019,2,30,0,<1,0
12/15/2019,4,29,0,<1,0
12/22/2019,3,39,0,1,0
12/29/2019,2,42,0,<1,0
1/5/2020,2,37,0,1,0
1/12/2020,3,42,0,<1,0
1/19/2020,3,48,0,<1,0
1/26/2020,3,50,0,0,0
2/2/2020,3,48,0,<1,0
2/9/2020,2,43,0,0,0
2/16/2020,2,43,<1,<1,0
2/23/2020,3,40,<1,0,0
3/1/2020,4,44,2,0,0
3/8/2020,10,76,8,<1,<1
3/15/2020,16,100,11,1,2
3/22/2020,12,90,5,5,1
3/29/2020,9,66,6,3,0
4/5/2020,3,68,5,2,<1
4/12/2020,5,45,4,2,1
4/19/2020,3,38,2,2,<1
4/26/2020,3,33,3,1,1
5/3/2020,1,31,3,2,1
5/10/2020,1,31,3,1,<1
5/17/2020,2,29,1,1,1
5/24/2020,1,34,1,<1,<1
5/31/2020,2,21,2,1,<1
6/7/2020,1,28,3,1,<1
6/14/2020,1,25,4,1,<1
6/21/2020,2,26,8,1,1
6/28/2020,1,26,2,1,1
7/5/2020,1,32,3,1,<1
7/12/2020,2,28,3,1,1
7/19/2020,1,30,7,<1,1
7/26/2020,3,31,4,1,1
8/2/2020,3,31,7,1,<1
8/9/2020,1,33,2,1,1
8/16/2020,2,31,2,1,0
8/23/2020,1,31,2,1,<1
8/30/2020,1,30,2,1,<1
9/6/2020,1,23,2,0,0
9/13/2020,2,28,2,<1,<1
9/20/2020,1,26,1,2,<1
9/27/2020,1,27,3,1,0
10/4/2020,3,26,2,1,<1
10/11/2020,1,29,2,2,0
10/18/2020,2,32,2,1,<1
10/25/2020,1,27,2,<1,<1
11/1/2020,2,24,2,1,0
11/8/2020,1,23,3,1,0
