Week,dry cough: (Mexico),fever: (Mexico),COVID-19 symptoms: (Mexico),loss of smell: (Mexico),coronavirus testing center: (Mexico)
11/17/2019,0,38,0,0,0
11/24/2019,4,54,0,2,0
12/1/2019,0,60,0,0,0
12/8/2019,2,71,0,0,0
12/15/2019,5,73,0,0,0
12/22/2019,3,83,0,0,0
12/29/2019,4,100,0,0,0
1/5/2020,2,100,0,0,0
1/12/2020,2,75,0,0,0
1/19/2020,0,73,0,0,0
1/26/2020,2,60,0,0,0
2/2/2020,2,58,0,0,0
2/9/2020,2,63,0,0,0
2/16/2020,4,62,2,2,0
2/23/2020,0,66,2,0,0
3/1/2020,2,48,0,2,0
3/8/2020,0,85,2,0,0
3/15/2020,10,84,6,0,0
3/22/2020,3,63,2,3,0
3/29/2020,4,73,5,2,0
4/5/2020,2,76,6,0,0
4/12/2020,2,49,3,2,0
4/19/2020,3,61,2,2,0
4/26/2020,2,61,0,2,0
5/3/2020,2,61,2,2,0
5/10/2020,0,48,5,2,0
5/17/2020,2,55,2,0,0
5/24/2020,2,40,5,2,0
5/31/2020,0,43,3,0,0
6/7/2020,3,48,3,0,0
6/14/2020,0,51,2,0,0
6/21/2020,3,62,0,0,0
6/28/2020,0,44,2,2,0
7/5/2020,0,50,2,0,0
7/12/2020,0,67,2,0,0
7/19/2020,0,67,6,0,0
7/26/2020,0,60,4,2,0
8/2/2020,4,50,2,2,0
8/9/2020,2,63,2,4,0
8/16/2020,2,57,2,4,0
8/23/2020,3,45,2,2,0
8/30/2020,3,32,0,2,0
9/6/2020,0,47,3,2,0
9/13/2020,0,36,2,2,0
9/20/2020,0,48,2,2,0
9/27/2020,0,49,0,0,0
10/4/2020,0,44,0,2,0
10/11/2020,2,36,2,2,0
10/18/2020,0,27,2,2,0
10/25/2020,0,48,2,4,0
11/1/2020,2,58,2,4,0
11/8/2020,4,59,0,4,0
