Week,dry cough: (Michigan),fever: (Michigan),COVID-19 symptoms: (Michigan),loss of smell: (Michigan),coronavirus testing center: (Michigan)
11/17/2019,2,28,0,0,0
11/24/2019,3,26,0,0,0
12/1/2019,2,34,0,<1,0
12/8/2019,3,33,0,1,0
12/15/2019,3,38,0,<1,0
12/22/2019,4,55,0,<1,0
12/29/2019,4,44,0,0,0
1/5/2020,3,35,0,<1,0
1/12/2020,3,43,0,1,0
1/19/2020,2,44,0,<1,0
1/26/2020,3,48,0,<1,0
2/2/2020,3,49,0,0,0
2/9/2020,2,51,0,0,0
2/16/2020,3,49,<1,<1,0
2/23/2020,2,42,1,<1,0
3/1/2020,3,47,1,0,0
3/8/2020,6,63,5,0,1
3/15/2020,11,100,10,1,1
3/22/2020,14,100,11,6,<1
3/29/2020,9,79,6,4,1
4/5/2020,6,56,5,1,<1
4/12/2020,4,43,3,2,<1
4/19/2020,3,36,3,1,<1
4/26/2020,2,32,1,1,<1
5/3/2020,2,29,1,1,<1
5/10/2020,3,29,2,<1,<1
5/17/2020,1,28,1,1,<1
5/24/2020,2,29,1,<1,0
5/31/2020,2,24,2,2,0
6/7/2020,1,24,2,<1,0
6/14/2020,1,28,3,0,<1
6/21/2020,1,30,5,<1,0
6/28/2020,2,31,3,2,1
7/5/2020,2,34,3,<1,<1
7/12/2020,2,34,8,1,<1
7/19/2020,2,35,10,1,0
7/26/2020,2,39,7,<1,0
8/2/2020,3,33,4,1,<1
8/9/2020,3,30,4,1,0
8/16/2020,1,26,3,1,0
8/23/2020,1,22,2,1,0
8/30/2020,1,24,2,1,<1
9/6/2020,1,24,2,1,0
9/13/2020,1,28,2,1,0
9/20/2020,2,30,2,1,0
9/27/2020,1,29,4,2,<1
10/4/2020,1,33,3,1,<1
10/11/2020,1,30,3,1,0
10/18/2020,3,33,4,2,0
10/25/2020,2,33,4,2,0
11/1/2020,2,29,4,3,0
11/8/2020,4,40,4,3,1
