Week,dry cough: (Minnesota),fever: (Minnesota),COVID-19 symptoms: (Minnesota),loss of smell: (Minnesota),coronavirus testing center: (Minnesota)
11/17/2019,2,33,0,0,0
11/24/2019,3,33,0,0,0
12/1/2019,2,38,0,0,0
12/8/2019,3,38,0,0,0
12/15/2019,3,46,0,1,0
12/22/2019,2,52,0,0,0
12/29/2019,3,38,0,0,0
1/5/2020,2,46,0,1,0
1/12/2020,3,46,0,0,0
1/19/2020,2,50,0,1,0
1/26/2020,3,49,0,0,1
2/2/2020,4,54,0,0,0
2/9/2020,2,50,1,0,0
2/16/2020,2,51,0,0,0
2/23/2020,2,52,1,1,0
3/1/2020,3,46,2,1,0
3/8/2020,11,77,10,1,0
3/15/2020,17,100,17,1,1
3/22/2020,11,84,12,4,0
3/29/2020,7,65,6,1,0
4/5/2020,5,52,6,1,0
4/12/2020,3,44,4,1,0
4/19/2020,3,43,4,1,1
4/26/2020,4,38,4,1,0
5/3/2020,3,38,4,1,0
5/10/2020,2,34,3,1,0
5/17/2020,2,32,2,1,1
5/24/2020,1,28,3,1,0
5/31/2020,1,23,1,1,1
6/7/2020,2,30,4,1,0
6/14/2020,1,32,5,1,1
6/21/2020,2,27,12,1,1
6/28/2020,2,31,4,2,0
7/5/2020,3,38,6,1,0
7/12/2020,2,42,8,2,0
7/19/2020,2,37,12,2,0
7/26/2020,1,37,7,1,0
8/2/2020,3,42,8,2,0
8/9/2020,2,31,4,2,0
8/16/2020,1,35,4,2,0
8/23/2020,2,29,3,1,0
8/30/2020,2,35,2,1,0
9/6/2020,1,30,3,1,1
9/13/2020,2,34,3,2,0
9/20/2020,1,31,4,2,0
9/27/2020,2,31,4,1,0
10/4/2020,3,34,5,2,0
10/11/2020,2,31,1,1,0
10/18/2020,3,30,3,3,0
10/25/2020,2,34,4,2,0
11/1/2020,2,39,6,4,1
11/8/2020,4,44,6,5,0
