Week,dry cough: (Missouri),fever: (Missouri),COVID-19 symptoms: (Missouri),loss of smell: (Missouri),coronavirus testing center: (Missouri)
11/17/2019,2,37,0,0,0
11/24/2019,2,36,0,1,0
12/1/2019,3,36,0,1,0
12/8/2019,2,35,0,0,0
12/15/2019,1,44,0,1,0
12/22/2019,3,50,0,0,0
12/29/2019,4,49,0,1,0
1/5/2020,2,42,0,0,0
1/12/2020,2,50,0,0,0
1/19/2020,3,43,0,1,0
1/26/2020,3,53,0,1,0
2/2/2020,2,53,0,1,0
2/9/2020,3,50,1,1,0
2/16/2020,3,59,0,1,0
2/23/2020,3,57,1,0,0
3/1/2020,4,54,2,0,0
3/8/2020,8,68,8,0,1
3/15/2020,15,100,10,1,1
3/22/2020,14,93,9,3,1
3/29/2020,10,71,6,2,1
4/5/2020,6,55,5,1,1
4/12/2020,4,41,3,1,0
4/19/2020,2,40,2,1,0
4/26/2020,1,38,3,1,1
5/3/2020,2,35,2,1,0
5/10/2020,2,36,2,1,0
5/17/2020,2,38,1,1,0
5/24/2020,3,37,2,1,1
5/31/2020,1,30,2,1,0
6/7/2020,1,34,2,1,0
6/14/2020,2,33,9,1,0
6/21/2020,3,43,12,2,0
6/28/2020,2,41,6,2,1
7/5/2020,2,49,7,1,0
7/12/2020,2,48,12,1,1
7/19/2020,1,44,14,2,0
7/26/2020,2,44,9,1,1
8/2/2020,1,41,7,2,1
8/9/2020,2,39,3,3,0
8/16/2020,1,40,5,2,0
8/23/2020,1,43,4,1,1
8/30/2020,2,35,3,2,1
9/6/2020,2,41,5,2,0
9/13/2020,2,34,4,1,0
9/20/2020,2,40,4,1,0
9/27/2020,3,36,4,2,0
10/4/2020,3,43,4,2,0
10/11/2020,3,37,5,2,0
10/18/2020,2,39,2,3,0
10/25/2020,2,37,5,2,1
11/1/2020,2,38,3,4,0
11/8/2020,5,53,6,5,0
