Week,dry cough: (Montana),fever: (Montana),COVID-19 symptoms: (Montana),loss of smell: (Montana),coronavirus testing center: (Montana)
11/17/2019,8,22,0,0,0
11/24/2019,5,21,0,0,0
12/1/2019,0,32,0,5,0
12/8/2019,5,47,0,0,0
12/15/2019,5,44,0,0,0
12/22/2019,6,52,0,0,0
12/29/2019,5,36,0,0,0
1/5/2020,0,57,0,0,0
1/12/2020,0,48,0,5,0
1/19/2020,0,46,0,0,0
1/26/2020,0,54,0,5,0
2/2/2020,0,67,0,0,0
2/9/2020,0,56,0,5,0
2/16/2020,7,49,0,0,0
2/23/2020,5,58,5,5,0
3/1/2020,14,79,7,0,0
3/8/2020,8,78,9,0,0
3/15/2020,9,100,12,0,0
3/22/2020,14,65,12,4,0
3/29/2020,13,72,6,8,0
4/5/2020,4,77,8,0,0
4/12/2020,6,35,0,0,0
4/19/2020,6,34,8,0,0
4/26/2020,4,29,4,4,0
5/3/2020,0,29,8,4,0
5/10/2020,4,31,6,0,0
5/17/2020,0,23,4,0,0
5/24/2020,5,40,0,5,0
5/31/2020,4,31,7,0,0
6/7/2020,0,45,7,0,0
6/14/2020,0,37,15,0,0
6/21/2020,14,35,12,5,0
6/28/2020,14,45,11,5,0
7/5/2020,7,38,5,0,0
7/12/2020,0,41,14,5,0
7/19/2020,7,43,15,5,0
7/26/2020,0,34,23,6,0
8/2/2020,5,47,5,5,0
8/9/2020,7,35,9,0,0
8/16/2020,6,42,9,5,0
8/23/2020,4,35,9,0,0
8/30/2020,0,39,4,4,0
9/6/2020,0,31,7,4,0
9/13/2020,0,36,4,6,0
9/20/2020,0,36,7,4,0
9/27/2020,5,52,8,0,0
10/4/2020,0,51,19,9,0
10/11/2020,8,44,20,5,0
10/18/2020,5,45,7,8,0
10/25/2020,0,51,10,10,0
11/1/2020,8,36,10,8,0
11/8/2020,11,37,11,11,0
