Week,dry cough: (Morocco),fever: (Morocco),COVID-19 symptoms: (Morocco),loss of smell: (Morocco),coronavirus testing center: (Morocco)
11/17/2019,0,56,0,0,0
11/24/2019,0,23,0,0,0
12/1/2019,15,40,0,15,0
12/8/2019,0,53,0,0,0
12/15/2019,0,43,0,0,0
12/22/2019,0,46,0,0,0
12/29/2019,0,63,0,0,0
1/5/2020,0,55,0,0,0
1/12/2020,0,30,0,0,0
1/19/2020,0,65,0,0,0
1/26/2020,0,62,0,0,0
2/2/2020,0,54,0,0,0
2/9/2020,0,40,0,0,0
2/16/2020,0,39,0,0,0
2/23/2020,0,54,0,0,0
3/1/2020,15,68,0,0,0
3/8/2020,0,69,15,0,0
3/15/2020,21,100,14,14,0
3/22/2020,54,90,14,0,0
3/29/2020,14,63,13,0,0
4/5/2020,13,88,0,0,0
4/12/2020,14,68,0,0,0
4/19/2020,0,69,0,0,0
4/26/2020,0,60,18,18,0
5/3/2020,0,38,16,0,0
5/10/2020,0,63,0,0,0
5/17/2020,15,41,0,0,0
5/24/2020,0,61,14,0,0
5/31/2020,0,36,0,0,0
6/7/2020,0,60,0,0,0
6/14/2020,0,62,0,0,0
6/21/2020,0,59,0,0,0
6/28/2020,16,21,0,0,0
7/5/2020,0,58,16,0,0
7/12/2020,15,30,0,0,0
7/19/2020,17,51,17,0,0
7/26/2020,0,83,0,0,0
8/2/2020,0,96,0,16,0
8/9/2020,16,79,0,0,0
8/16/2020,32,70,0,16,0
8/23/2020,0,96,0,16,0
8/30/2020,0,58,0,16,0
9/6/2020,0,73,0,0,0
9/13/2020,15,30,15,0,0
9/20/2020,0,35,0,15,0
9/27/2020,0,60,22,0,0
10/4/2020,0,39,0,15,0
10/11/2020,0,55,16,0,0
10/18/2020,0,35,0,0,0
10/25/2020,0,48,0,0,0
11/1/2020,0,93,0,15,0
11/8/2020,0,60,0,0,0
