Week,dry cough: (Nepal),fever: (Nepal),COVID-19 symptoms: (Nepal),loss of smell: (Nepal),coronavirus testing center: (Nepal)
11/17/2019,8,36,0,0,0
11/24/2019,4,51,0,4,0
12/1/2019,8,55,0,0,0
12/8/2019,4,36,0,0,0
12/15/2019,5,40,0,0,0
12/22/2019,8,41,0,0,0
12/29/2019,7,41,0,0,0
1/5/2020,4,43,0,0,0
1/12/2020,5,36,0,0,0
1/19/2020,4,40,0,0,0
1/26/2020,6,50,0,0,0
2/2/2020,6,63,0,0,0
2/9/2020,4,54,0,0,0
2/16/2020,5,74,0,0,0
2/23/2020,4,54,0,0,0
3/1/2020,5,71,4,0,0
3/8/2020,7,75,7,0,0
3/15/2020,21,77,7,0,0
3/22/2020,26,90,3,0,0
3/29/2020,11,65,3,0,0
4/5/2020,9,56,3,3,0
4/12/2020,7,52,3,0,0
4/19/2020,5,56,4,0,0
4/26/2020,9,54,3,0,0
5/3/2020,7,41,4,0,0
5/10/2020,7,37,3,0,0
5/17/2020,9,48,3,0,0
5/24/2020,6,34,4,0,0
5/31/2020,3,39,3,0,0
6/7/2020,5,47,7,3,0
6/14/2020,3,44,3,0,0
6/21/2020,7,49,7,0,0
6/28/2020,5,35,3,3,0
7/5/2020,5,49,0,3,0
7/12/2020,7,43,4,0,0
7/19/2020,6,41,3,0,0
7/26/2020,8,58,5,0,0
8/2/2020,5,42,17,0,0
8/9/2020,7,76,4,3,0
8/16/2020,6,65,3,0,0
8/23/2020,7,56,3,5,0
8/30/2020,9,64,6,3,0
9/6/2020,9,60,3,3,0
9/13/2020,8,69,3,3,0
9/20/2020,4,71,13,3,0
9/27/2020,11,67,5,5,0
10/4/2020,4,81,7,8,0
10/11/2020,12,100,12,7,0
10/18/2020,5,93,15,17,0
10/25/2020,5,99,15,7,0
11/1/2020,6,62,7,4,0
11/8/2020,7,55,20,13,0
