Week,dry cough: (Netherlands),fever: (Netherlands),COVID-19 symptoms: (Netherlands),loss of smell: (Netherlands),coronavirus testing center: (Netherlands)
11/17/2019,0,55,0,0,0
11/24/2019,0,48,0,0,0
12/1/2019,2,56,0,0,0
12/8/2019,3,67,0,2,0
12/15/2019,2,66,0,2,0
12/22/2019,0,65,0,0,0
12/29/2019,2,71,0,0,0
1/5/2020,0,54,0,0,0
1/12/2020,0,49,0,0,0
1/19/2020,3,61,0,0,0
1/26/2020,2,55,0,0,0
2/2/2020,3,71,0,0,0
2/9/2020,3,85,0,0,0
2/16/2020,3,57,0,0,0
2/23/2020,2,51,2,0,0
3/1/2020,1,57,1,0,0
3/8/2020,9,77,4,0,0
3/15/2020,10,94,9,2,0
3/22/2020,2,100,1,11,0
3/29/2020,2,67,5,4,0
4/5/2020,1,66,0,1,0
4/12/2020,2,75,4,0,0
4/19/2020,1,62,1,0,0
4/26/2020,1,52,1,0,0
5/3/2020,3,50,1,0,0
5/10/2020,1,44,1,1,0
5/17/2020,1,50,1,1,0
5/24/2020,3,58,1,0,0
5/31/2020,1,53,4,0,0
6/7/2020,1,48,3,0,0
6/14/2020,1,46,1,1,0
6/21/2020,1,51,0,0,0
6/28/2020,3,50,1,0,0
7/5/2020,1,37,1,0,0
7/12/2020,2,44,3,0,0
7/19/2020,0,35,3,0,0
7/26/2020,2,53,2,2,0
8/2/2020,2,43,0,0,0
8/9/2020,2,43,2,0,0
8/16/2020,0,45,0,0,0
8/23/2020,1,47,0,0,0
8/30/2020,2,49,3,0,0
9/6/2020,0,55,3,1,0
9/13/2020,1,54,3,2,0
9/20/2020,2,59,0,2,0
9/27/2020,2,52,3,1,0
10/4/2020,0,43,3,2,0
10/11/2020,2,37,2,2,0
10/18/2020,2,39,3,2,0
10/25/2020,0,37,0,2,0
11/1/2020,0,41,3,3,0
11/8/2020,0,45,0,4,0
