Week,dry cough: (New Hampshire),fever: (New Hampshire),COVID-19 symptoms: (New Hampshire),loss of smell: (New Hampshire),coronavirus testing center: (New Hampshire)
11/17/2019,0,32,0,0,0
11/24/2019,4,29,0,0,0
12/1/2019,9,24,0,0,0
12/8/2019,6,23,0,0,0
12/15/2019,7,28,0,0,0
12/22/2019,5,41,0,3,0
12/29/2019,3,43,0,3,0
1/5/2020,4,40,0,0,0
1/12/2020,3,46,0,3,0
1/19/2020,9,61,0,0,0
1/26/2020,5,52,0,0,0
2/2/2020,5,60,0,0,0
2/9/2020,5,51,3,0,0
2/16/2020,4,52,0,0,0
2/23/2020,4,37,0,0,0
3/1/2020,5,58,4,0,0
3/8/2020,4,77,12,0,3
3/15/2020,12,100,15,0,2
3/22/2020,11,87,5,5,2
3/29/2020,7,80,7,4,0
4/5/2020,7,56,2,3,2
4/12/2020,3,40,7,2,0
4/19/2020,3,44,6,2,2
4/26/2020,3,35,5,2,0
5/3/2020,2,35,6,0,0
5/10/2020,0,40,5,0,0
5/17/2020,0,36,7,4,0
5/24/2020,0,38,2,0,0
5/31/2020,0,29,5,0,0
6/7/2020,0,32,2,5,2
6/14/2020,4,27,7,0,0
6/21/2020,3,36,9,0,0
6/28/2020,4,38,8,3,0
7/5/2020,0,31,3,0,0
7/12/2020,5,40,8,3,0
7/19/2020,3,29,14,0,0
7/26/2020,3,42,9,0,0
8/2/2020,5,51,10,3,0
8/9/2020,4,40,3,0,3
8/16/2020,3,27,7,0,0
8/23/2020,4,39,4,0,0
8/30/2020,5,28,5,3,0
9/6/2020,0,37,3,3,0
9/13/2020,2,26,3,0,0
9/20/2020,3,40,5,4,0
9/27/2020,0,34,3,3,0
10/4/2020,3,29,4,3,0
10/11/2020,0,32,6,0,0
10/18/2020,6,37,4,3,0
10/25/2020,3,36,4,3,0
11/1/2020,4,24,4,0,0
11/8/2020,0,35,7,0,0
