Week,dry cough: (New Mexico),fever: (New Mexico),COVID-19 symptoms: (New Mexico),loss of smell: (New Mexico),coronavirus testing center: (New Mexico)
11/17/2019,6,29,0,0,0
11/24/2019,4,49,0,0,0
12/1/2019,3,33,0,0,0
12/8/2019,2,38,0,0,0
12/15/2019,4,52,0,0,0
12/22/2019,6,46,0,0,0
12/29/2019,7,48,0,0,0
1/5/2020,4,46,0,0,0
1/12/2020,3,56,0,2,0
1/19/2020,6,47,0,2,0
1/26/2020,3,50,0,0,0
2/2/2020,3,40,0,0,0
2/9/2020,5,40,0,0,0
2/16/2020,4,35,0,2,0
2/23/2020,3,40,0,0,0
3/1/2020,4,44,2,0,0
3/8/2020,7,61,4,0,4
3/15/2020,15,100,4,2,4
3/22/2020,15,87,9,4,3
3/29/2020,9,89,7,5,0
4/5/2020,10,61,3,2,0
4/12/2020,3,40,3,2,2
4/19/2020,2,36,4,0,0
4/26/2020,2,35,5,2,2
5/3/2020,3,37,4,0,0
5/10/2020,2,32,4,2,2
5/17/2020,2,27,2,2,0
5/24/2020,3,30,6,0,0
5/31/2020,3,24,2,2,0
6/7/2020,2,31,4,0,0
6/14/2020,2,26,10,2,0
6/21/2020,3,29,8,3,0
6/28/2020,4,31,6,2,0
7/5/2020,0,39,7,2,0
7/12/2020,0,34,6,6,0
7/19/2020,3,33,11,2,0
7/26/2020,4,30,7,3,2
8/2/2020,2,30,6,2,0
8/9/2020,3,35,4,2,0
8/16/2020,3,28,4,2,0
8/23/2020,2,28,5,2,0
8/30/2020,0,22,2,0,0
9/6/2020,2,27,4,0,0
9/13/2020,4,23,4,2,0
9/20/2020,4,30,3,0,0
9/27/2020,4,29,5,2,0
10/4/2020,4,39,4,0,0
10/11/2020,2,33,12,3,0
10/18/2020,3,36,6,2,0
10/25/2020,5,30,7,4,2
11/1/2020,0,30,3,2,0
11/8/2020,9,40,4,4,0
