Week,dry cough: (New York),fever: (New York),COVID-19 symptoms: (New York),loss of smell: (New York),coronavirus testing center: (New York)
11/17/2019,2,26,0,<1,0
11/24/2019,2,26,0,<1,0
12/1/2019,2,23,0,0,0
12/8/2019,2,25,0,<1,0
12/15/2019,2,28,0,<1,0
12/22/2019,3,37,0,0,0
12/29/2019,3,33,0,<1,0
1/5/2020,3,34,0,<1,0
1/12/2020,2,32,0,<1,0
1/19/2020,2,36,0,<1,0
1/26/2020,2,37,0,<1,0
2/2/2020,3,39,0,<1,0
2/9/2020,2,34,<1,<1,0
2/16/2020,2,28,<1,<1,0
2/23/2020,2,32,<1,<1,0
3/1/2020,3,37,1,<1,<1
3/8/2020,8,61,4,<1,1
3/15/2020,12,100,6,2,2
3/22/2020,12,97,6,11,2
3/29/2020,8,78,5,7,1
4/5/2020,6,57,3,4,1
4/12/2020,4,42,2,2,<1
4/19/2020,2,37,1,2,<1
4/26/2020,2,30,1,1,1
5/3/2020,2,27,1,1,<1
5/10/2020,1,26,2,1,<1
5/17/2020,1,25,1,1,1
5/24/2020,1,23,1,1,<1
5/31/2020,1,21,1,<1,<1
6/7/2020,1,21,1,<1,<1
6/14/2020,1,22,3,1,<1
6/21/2020,1,21,4,1,<1
6/28/2020,1,24,2,<1,<1
7/5/2020,1,24,2,1,<1
7/12/2020,1,25,3,<1,<1
7/19/2020,1,22,5,1,<1
7/26/2020,1,25,4,1,<1
8/2/2020,1,24,3,1,<1
8/9/2020,1,22,2,1,<1
8/16/2020,1,23,2,<1,<1
8/23/2020,2,21,1,<1,<1
8/30/2020,1,22,1,<1,<1
9/6/2020,1,22,2,<1,<1
9/13/2020,1,22,1,<1,0
9/20/2020,2,24,2,<1,<1
9/27/2020,2,23,2,<1,<1
10/4/2020,1,23,2,1,<1
10/11/2020,1,22,2,<1,<1
10/18/2020,2,23,2,1,0
10/25/2020,1,24,1,<1,<1
11/1/2020,1,19,1,1,<1
11/8/2020,2,27,2,1,<1
