Week,dry cough: (New Zealand),fever: (New Zealand),COVID-19 symptoms: (New Zealand),loss of smell: (New Zealand),coronavirus testing center: (New Zealand)
11/17/2019,4,69,0,2,0
11/24/2019,5,72,0,2,0
12/1/2019,3,76,0,0,0
12/8/2019,5,65,0,0,0
12/15/2019,5,49,0,0,0
12/22/2019,4,63,0,2,0
12/29/2019,3,54,0,2,0
1/5/2020,3,52,0,0,0
1/12/2020,3,53,0,0,0
1/19/2020,2,51,0,0,0
1/26/2020,3,57,0,2,0
2/2/2020,3,43,0,0,0
2/9/2020,3,46,0,1,0
2/16/2020,3,58,0,0,0
2/23/2020,3,46,0,0,0
3/1/2020,5,60,3,0,0
3/8/2020,8,68,3,1,0
3/15/2020,16,99,13,1,0
3/22/2020,15,100,16,2,3
3/29/2020,14,77,6,2,0
4/5/2020,7,54,5,1,0
4/12/2020,6,63,2,0,0
4/19/2020,5,50,4,0,0
4/26/2020,3,47,3,2,1
5/3/2020,4,50,1,2,0
5/10/2020,2,42,4,1,0
5/17/2020,3,45,1,0,0
5/24/2020,4,49,1,0,0
5/31/2020,2,35,3,0,0
6/7/2020,3,45,3,0,0
6/14/2020,3,39,7,1,0
6/21/2020,7,43,5,1,0
6/28/2020,4,46,3,1,0
7/5/2020,6,43,2,1,0
7/12/2020,5,47,1,0,0
7/19/2020,4,39,3,1,0
7/26/2020,3,49,2,1,0
8/2/2020,4,41,2,1,0
8/9/2020,10,52,11,1,0
8/16/2020,5,63,7,0,0
8/23/2020,4,55,7,1,0
8/30/2020,5,50,4,1,0
9/6/2020,3,56,5,1,0
9/13/2020,3,54,1,1,0
9/20/2020,4,52,2,1,0
9/27/2020,3,49,2,0,0
10/4/2020,8,50,2,0,0
10/11/2020,8,54,2,0,0
10/18/2020,5,56,2,2,0
10/25/2020,3,55,3,2,0
11/1/2020,5,43,1,0,0
11/8/2020,7,54,4,0,0
