Week,dry cough: (North Carolina),fever: (North Carolina),COVID-19 symptoms: (North Carolina),loss of smell: (North Carolina),coronavirus testing center: (North Carolina)
11/17/2019,2,35,0,<1,0
11/24/2019,2,34,0,1,0
12/1/2019,2,35,0,0,0
12/8/2019,3,42,0,1,0
12/15/2019,3,45,0,0,0
12/22/2019,4,56,0,<1,0
12/29/2019,3,54,0,<1,0
1/5/2020,4,45,0,0,0
1/12/2020,2,43,0,<1,0
1/19/2020,3,49,0,<1,0
1/26/2020,3,48,0,<1,0
2/2/2020,4,57,0,<1,0
2/9/2020,3,55,<1,<1,0
2/16/2020,2,51,<1,<1,0
2/23/2020,3,48,<1,<1,0
3/1/2020,4,51,1,1,<1
3/8/2020,9,72,4,1,<1
3/15/2020,13,100,8,<1,1
3/22/2020,11,92,7,3,1
3/29/2020,7,69,7,1,0
4/5/2020,6,56,4,1,<1
4/12/2020,4,44,4,1,1
4/19/2020,3,44,3,1,<1
4/26/2020,3,39,4,1,0
5/3/2020,2,38,3,1,1
5/10/2020,2,38,3,<1,<1
5/17/2020,2,32,2,<1,0
5/24/2020,1,35,3,1,<1
5/31/2020,2,34,3,1,0
6/7/2020,2,34,3,1,<1
6/14/2020,1,35,12,1,<1
6/21/2020,2,42,12,2,1
6/28/2020,2,39,6,1,<1
7/5/2020,3,49,4,2,<1
7/12/2020,2,45,7,1,<1
7/19/2020,2,42,15,2,<1
7/26/2020,2,39,6,1,<1
8/2/2020,1,36,7,2,<1
8/9/2020,1,35,4,1,<1
8/16/2020,2,35,2,1,0
8/23/2020,2,39,2,1,<1
8/30/2020,1,38,4,1,<1
9/6/2020,1,33,3,1,<1
9/13/2020,1,33,2,1,0
9/20/2020,1,32,2,1,<1
9/27/2020,2,34,4,1,<1
10/4/2020,3,39,4,2,0
10/11/2020,2,35,3,1,0
10/18/2020,2,38,4,1,0
10/25/2020,1,35,3,1,0
11/1/2020,2,27,2,1,0
11/8/2020,2,36,4,2,0
