Week,dry cough: (North Dakota),fever: (North Dakota),COVID-19 symptoms: (North Dakota),loss of smell: (North Dakota),coronavirus testing center: (North Dakota)
11/17/2019,5,34,0,0,0
11/24/2019,0,48,0,0,0
12/1/2019,11,52,0,0,0
12/8/2019,0,38,0,0,0
12/15/2019,0,39,0,6,0
12/22/2019,6,47,0,0,0
12/29/2019,6,29,0,0,0
1/5/2020,5,43,0,0,0
1/12/2020,5,37,0,0,0
1/19/2020,5,46,0,0,0
1/26/2020,5,49,0,0,0
2/2/2020,10,59,0,0,0
2/9/2020,0,60,0,0,0
2/16/2020,5,42,0,0,0
2/23/2020,5,40,0,0,0
3/1/2020,5,54,10,0,0
3/8/2020,5,58,5,0,0
3/15/2020,13,100,22,0,0
3/22/2020,14,82,9,5,0
3/29/2020,9,51,9,4,0
4/5/2020,6,48,6,0,0
4/12/2020,9,36,6,4,0
4/19/2020,6,33,5,5,0
4/26/2020,7,36,18,0,0
5/3/2020,7,32,9,0,0
5/10/2020,0,22,0,0,0
5/17/2020,5,32,5,0,0
5/24/2020,0,29,5,5,0
5/31/2020,5,15,5,0,0
6/7/2020,5,36,5,0,0
6/14/2020,0,21,11,0,0
6/21/2020,0,37,9,5,0
6/28/2020,6,30,9,0,0
7/5/2020,6,28,0,6,0
7/12/2020,6,26,6,0,0
7/19/2020,6,35,22,0,0
7/26/2020,8,32,8,0,0
8/2/2020,0,45,6,0,0
8/9/2020,5,35,5,6,0
8/16/2020,6,48,5,6,0
8/23/2020,0,25,0,5,0
8/30/2020,5,35,0,5,0
9/6/2020,5,34,15,5,0
9/13/2020,5,35,5,5,0
9/20/2020,5,30,5,5,0
9/27/2020,5,19,10,5,0
10/4/2020,5,36,5,5,0
10/11/2020,6,49,11,6,0
10/18/2020,6,37,6,11,0
10/25/2020,8,51,11,8,0
11/1/2020,9,38,5,5,0
11/8/2020,18,62,24,13,0
