Week,dry cough: (Norway),fever: (Norway),COVID-19 symptoms: (Norway),loss of smell: (Norway),coronavirus testing center: (Norway)
11/17/2019,0,55,0,0,0
11/24/2019,15,66,0,0,0
12/1/2019,5,63,0,0,0
12/8/2019,5,56,0,0,0
12/15/2019,0,82,0,0,0
12/22/2019,0,89,0,0,0
12/29/2019,0,93,0,0,0
1/5/2020,5,55,0,0,0
1/12/2020,0,51,0,0,0
1/19/2020,5,63,0,0,0
1/26/2020,5,54,0,0,0
2/2/2020,5,54,0,0,0
2/9/2020,5,65,0,0,0
2/16/2020,7,43,5,0,0
2/23/2020,5,50,10,0,0
3/1/2020,0,79,5,0,0
3/8/2020,5,78,9,0,0
3/15/2020,11,100,7,0,0
3/22/2020,7,95,4,0,0
3/29/2020,0,57,4,0,0
4/5/2020,10,60,10,5,0
4/12/2020,0,47,0,0,0
4/19/2020,5,43,5,0,0
4/26/2020,4,46,7,0,0
5/3/2020,4,54,0,0,0
5/10/2020,4,47,4,0,0
5/17/2020,5,32,5,0,0
5/24/2020,9,41,5,0,0
5/31/2020,0,51,0,0,0
6/7/2020,5,43,9,0,0
6/14/2020,5,56,0,5,0
6/21/2020,0,40,0,0,0
6/28/2020,0,26,0,0,0
7/5/2020,5,40,0,0,0
7/12/2020,5,40,5,5,0
7/19/2020,5,43,5,0,0
7/26/2020,0,47,0,0,0
8/2/2020,5,43,5,0,0
8/9/2020,0,42,5,0,0
8/16/2020,0,43,6,0,0
8/23/2020,5,49,7,0,0
8/30/2020,5,36,7,0,0
9/6/2020,0,45,0,5,0
9/13/2020,5,39,5,0,0
9/20/2020,0,47,5,0,0
9/27/2020,0,37,0,0,0
10/4/2020,5,37,5,0,0
10/11/2020,16,55,5,5,0
10/18/2020,5,38,0,0,0
10/25/2020,20,38,5,10,0
11/1/2020,9,41,0,10,0
11/8/2020,0,34,0,11,0
