Week,dry cough: (Ohio),fever: (Ohio),COVID-19 symptoms: (Ohio),loss of smell: (Ohio),coronavirus testing center: (Ohio)
11/17/2019,2,27,0,<1,0
11/24/2019,2,26,0,<1,0
12/1/2019,1,30,0,<1,0
12/8/2019,2,31,0,<1,0
12/15/2019,2,34,0,<1,0
12/22/2019,3,43,0,<1,0
12/29/2019,3,39,0,<1,0
1/5/2020,2,36,0,<1,0
1/12/2020,1,35,0,<1,0
1/19/2020,2,42,0,<1,0
1/26/2020,2,49,0,<1,0
2/2/2020,2,46,0,<1,0
2/9/2020,2,41,0,<1,0
2/16/2020,3,42,<1,0,0
2/23/2020,2,40,<1,<1,0
3/1/2020,3,39,1,<1,<1
3/8/2020,7,65,5,<1,<1
3/15/2020,13,100,8,<1,1
3/22/2020,8,83,5,3,<1
3/29/2020,7,62,5,1,<1
4/5/2020,5,50,3,1,<1
4/12/2020,3,39,3,1,<1
4/19/2020,3,34,2,1,<1
4/26/2020,3,31,2,<1,<1
5/3/2020,1,27,2,<1,<1
5/10/2020,1,28,3,<1,0
5/17/2020,2,27,2,<1,<1
5/24/2020,1,27,1,<1,<1
5/31/2020,2,25,1,<1,0
6/7/2020,1,26,2,<1,<1
6/14/2020,1,25,5,1,1
6/21/2020,2,27,9,1,<1
6/28/2020,2,31,4,1,1
7/5/2020,2,35,4,1,1
7/12/2020,2,35,8,1,<1
7/19/2020,2,35,13,1,1
7/26/2020,2,34,8,2,1
8/2/2020,1,34,5,1,<1
8/9/2020,2,33,3,1,<1
8/16/2020,2,27,3,1,<1
8/23/2020,2,28,2,1,0
8/30/2020,1,29,2,1,<1
9/6/2020,1,25,2,1,0
9/13/2020,1,27,1,1,0
9/20/2020,1,29,3,1,1
9/27/2020,1,26,2,1,0
10/4/2020,2,36,3,1,0
10/11/2020,2,29,2,1,<1
10/18/2020,1,32,2,2,0
10/25/2020,1,31,3,2,0
11/1/2020,2,29,2,2,0
11/8/2020,2,34,4,4,1
